date,lon,lat,elev,snow
2011-11-01,118.842,-36.717,7600.0,-0.38
2011-11-02,118.842,-36.717,7600.0,-0.38
2011-11-03,118.842,-36.717,7600.0,-0.26
2011-11-04,118.842,-36.717,7600.0,-0.02
2011-11-05,118.842,-36.717,7600.0,-0.02
2011-11-06,118.842,-36.717,7600.0,0.1
2011-11-07,118.842,-36.717,7600.0,0.46
2011-11-08,118.842,-36.717,7600.0,0.46
2011-11-09,118.842,-36.717,7600.0,0.46
2011-11-10,118.842,-36.717,7600.0,0.34
2011-11-11,118.842,-36.717,7600.0,0.34
2011-11-12,118.842,-36.717,7600.0,1.06
2011-11-13,118.842,-36.717,7600.0,0.94
2011-11-14,118.842,-36.717,7600.0,0.7
2011-11-15,118.842,-36.717,7600.0,0.82
2011-11-16,118.842,-36.717,7600.0,0.94
2011-11-17,118.842,-36.717,7600.0,0.94
2011-11-18,118.842,-36.717,7600.0,0.94
2011-11-19,118.842,-36.717,7600.0,0.94
2011-11-20,118.842,-36.717,7600.0,1.18
2011-11-21,118.842,-36.717,7600.0,1.3
2011-11-22,118.842,-36.717,7600.0,1.3
2011-11-23,118.842,-36.717,7600.0,1.3
2011-11-24,118.842,-36.717,7600.0,1.18
2011-11-25,118.842,-36.717,7600.0,1.18
2011-11-26,118.842,-36.717,7600.0,1.18
2011-11-27,118.842,-36.717,7600.0,1.3
2011-11-28,118.842,-36.717,7600.0,1.3
2011-11-29,118.842,-36.717,7600.0,1.42
2011-11-30,118.842,-36.717,7600.0,1.42
2011-12-01,118.842,-36.717,7600.0,2.26
2011-12-02,118.842,-36.717,7600.0,2.3
2011-12-03,118.842,-36.717,7600.0,2.0
2011-12-04,118.842,-36.717,7600.0,2.0
2011-12-05,118.842,-36.717,7600.0,1.99
2011-12-06,118.842,-36.717,7600.0,1.9
2011-12-07,118.842,-36.717,7600.0,1.8
2011-12-08,118.842,-36.717,7600.0,1.8
2011-12-09,118.842,-36.717,7600.0,1.8
2011-12-10,118.842,-36.717,7600.0,1.8
2011-12-11,118.842,-36.717,7600.0,1.8
2011-12-12,118.842,-36.717,7600.0,1.8
2011-12-13,118.842,-36.717,7600.0,1.8
2011-12-14,118.842,-36.717,7600.0,1.8
2011-12-15,118.842,-36.717,7600.0,1.8
2011-12-16,118.842,-36.717,7600.0,1.8
2011-12-17,118.842,-36.717,7600.0,1.8
2011-12-18,118.842,-36.717,7600.0,1.8
2011-12-19,118.842,-36.717,7600.0,1.8
2011-12-20,118.842,-36.717,7600.0,1.85
2011-12-21,118.842,-36.717,7600.0,1.85
2011-12-22,118.842,-36.717,7600.0,1.8
2011-12-23,118.842,-36.717,7600.0,1.8
2011-12-24,118.842,-36.717,7600.0,1.8
2011-12-25,118.842,-36.717,7600.0,1.8
2011-12-26,118.842,-36.717,7600.0,1.85
2011-12-27,118.842,-36.717,7600.0,1.85
2011-12-28,118.842,-36.717,7600.0,1.85
2011-12-29,118.842,-36.717,7600.0,1.85
2011-12-30,118.842,-36.717,7600.0,1.85
2011-12-31,118.842,-36.717,7600.0,1.85
2012-01-01,118.842,-36.717,7600.0,1.85
2012-01-02,118.842,-36.717,7600.0,1.85
2012-01-03,118.842,-36.717,7600.0,1.85
2012-01-04,118.842,-36.717,7600.0,1.8
2012-01-05,118.842,-36.717,7600.0,1.8
2012-01-06,118.842,-36.717,7600.0,1.8
2012-01-07,118.842,-36.717,7600.0,1.8
2012-01-08,118.842,-36.717,7600.0,1.8
2012-01-09,118.842,-36.717,7600.0,1.8
2012-01-10,118.842,-36.717,7600.0,1.75
2012-01-11,118.842,-36.717,7600.0,1.7
2012-01-12,118.842,-36.717,7600.0,1.7
2012-01-13,118.842,-36.717,7600.0,1.7
2012-01-14,118.842,-36.717,7600.0,1.7
2012-01-15,118.842,-36.717,7600.0,1.5
2012-01-16,118.842,-36.717,7600.0,1.5
2012-01-17,118.842,-36.717,7600.0,1.5
2012-01-18,118.842,-36.717,7600.0,1.5
2012-01-19,118.842,-36.717,7600.0,2.0
2012-01-20,118.842,-36.717,7600.0,2.6
2012-01-21,118.842,-36.717,7600.0,3.5
2012-01-22,118.842,-36.717,7600.0,4.0
2012-01-23,118.842,-36.717,7600.0,4.5
2012-01-24,118.842,-36.717,7600.0,5.4
2012-01-25,118.842,-36.717,7600.0,5.4
2012-01-26,118.842,-36.717,7600.0,5.4
2012-01-27,118.842,-36.717,7600.0,5.4
2012-01-28,118.842,-36.717,7600.0,5.48
2012-01-29,118.842,-36.717,7600.0,5.6
2012-01-30,118.842,-36.717,7600.0,5.75
2012-01-31,118.842,-36.717,7600.0,5.84
2012-02-01,118.842,-36.717,7600.0,5.72
2012-02-02,118.842,-36.717,7600.0,5.6
2012-02-03,118.842,-36.717,7600.0,5.6
2012-02-04,118.842,-36.717,7600.0,5.84
2012-02-05,118.842,-36.717,7600.0,5.84
2012-02-06,118.842,-36.717,7600.0,5.84
2012-02-07,118.842,-36.717,7600.0,5.84
2012-02-08,118.842,-36.717,7600.0,
2012-02-09,118.842,-36.717,7600.0,
2012-02-10,118.842,-36.717,7600.0,
2012-02-11,118.842,-36.717,7600.0,
2012-02-12,118.842,-36.717,7600.0,
2012-02-13,118.842,-36.717,7600.0,
2012-02-14,118.842,-36.717,7600.0,
2012-02-15,118.842,-36.717,7600.0,
2012-02-16,118.842,-36.717,7600.0,
2012-02-17,118.842,-36.717,7600.0,
2012-02-18,118.842,-36.717,7600.0,
2012-02-19,118.842,-36.717,7600.0,
2012-02-20,118.842,-36.717,7600.0,
2012-02-21,118.842,-36.717,7600.0,
2012-02-22,118.842,-36.717,7600.0,
2012-02-23,118.842,-36.717,7600.0,
2012-02-24,118.842,-36.717,7600.0,
2012-02-25,118.842,-36.717,7600.0,
2012-02-26,118.842,-36.717,7600.0,
