date,lon,lat,elev,snow
2011-11-01,118.557,-37.1,11200.0,0.26
2011-11-02,118.557,-37.1,11200.0,0.84
2011-11-03,118.557,-37.1,11200.0,0.62
2011-11-04,118.557,-37.1,11200.0,0.98
2011-11-05,118.557,-37.1,11200.0,1.19
2011-11-06,118.557,-37.1,11200.0,1.59
2011-11-07,118.557,-37.1,11200.0,1.6
2011-11-08,118.557,-37.1,11200.0,1.6
2011-11-09,118.557,-37.1,11200.0,1.69
2011-11-10,118.557,-37.1,11200.0,1.78
2011-11-11,118.557,-37.1,11200.0,1.8
2011-11-12,118.557,-37.1,11200.0,2.84
2011-11-13,118.557,-37.1,11200.0,2.83
2011-11-14,118.557,-37.1,11200.0,2.67
2011-11-15,118.557,-37.1,11200.0,2.6
2011-11-16,118.557,-37.1,11200.0,2.52
2011-11-17,118.557,-37.1,11200.0,2.43
2011-11-18,118.557,-37.1,11200.0,2.37
2011-11-19,118.557,-37.1,11200.0,2.29
2011-11-20,118.557,-37.1,11200.0,2.4
2011-11-21,118.557,-37.1,11200.0,3.12
2011-11-22,118.557,-37.1,11200.0,3.03
2011-11-23,118.557,-37.1,11200.0,2.95
2011-11-24,118.557,-37.1,11200.0,2.83
2011-11-25,118.557,-37.1,11200.0,2.76
2011-11-26,118.557,-37.1,11200.0,2.68
2011-11-27,118.557,-37.1,11200.0,2.61
2011-11-28,118.557,-37.1,11200.0,2.52
2011-11-29,118.557,-37.1,11200.0,2.48
2011-11-30,118.557,-37.1,11200.0,2.43
2011-12-01,118.557,-37.1,11200.0,1.94
2011-12-02,118.557,-37.1,11200.0,2.3
2011-12-03,118.557,-37.1,11200.0,2.91
2011-12-04,118.557,-37.1,11200.0,3.46
2011-12-05,118.557,-37.1,11200.0,
2011-12-06,118.557,-37.1,11200.0,3.98
2011-12-07,118.557,-37.1,11200.0,4.07
2011-12-08,118.557,-37.1,11200.0,4.21
2011-12-09,118.557,-37.1,11200.0,4.35
2011-12-10,118.557,-37.1,11200.0,4.6
2011-12-11,118.557,-37.1,11200.0,4.74
2011-12-12,118.557,-37.1,11200.0,4.92
2011-12-13,118.557,-37.1,11200.0,5.07
2011-12-14,118.557,-37.1,11200.0,5.17
2011-12-15,118.557,-37.1,11200.0,5.15
2011-12-16,118.557,-37.1,11200.0,5.25
2011-12-17,118.557,-37.1,11200.0,5.22
2011-12-18,118.557,-37.1,11200.0,5.15
2011-12-19,118.557,-37.1,11200.0,5.16
2011-12-20,118.557,-37.1,11200.0,5.13
2011-12-21,118.557,-37.1,11200.0,5.02
2011-12-22,118.557,-37.1,11200.0,5.01
2011-12-23,118.557,-37.1,11200.0,4.83
2011-12-24,118.557,-37.1,11200.0,4.8
2011-12-25,118.557,-37.1,11200.0,4.75
2011-12-26,118.557,-37.1,11200.0,4.68
2011-12-27,118.557,-37.1,11200.0,4.58
2011-12-28,118.557,-37.1,11200.0,4.48
2011-12-29,118.557,-37.1,11200.0,4.49
2011-12-30,118.557,-37.1,11200.0,4.37
2011-12-31,118.557,-37.1,11200.0,4.31
2012-01-01,118.557,-37.1,11200.0,4.08
2012-01-02,118.557,-37.1,11200.0,4.1
2012-01-03,118.557,-37.1,11200.0,3.95
2012-01-04,118.557,-37.1,11200.0,3.98
