date,lon,lat,elev,snow
2011-11-01,119.6531,-38.3319,9250.0,0.0
2011-11-02,119.6531,-38.3319,9250.0,0.0
2011-11-03,119.6531,-38.3319,9250.0,0.0
2011-11-04,119.6531,-38.3319,9250.0,0.24
2011-11-05,119.6531,-38.3319,9250.0,0.12
2011-11-06,119.6531,-38.3319,9250.0,0.48
2011-11-07,119.6531,-38.3319,9250.0,0.48
2011-11-08,119.6531,-38.3319,9250.0,0.36
2011-11-09,119.6531,-38.3319,9250.0,0.48
2011-11-10,119.6531,-38.3319,9250.0,0.84
2011-11-11,119.6531,-38.3319,9250.0,0.84
2011-11-12,119.6531,-38.3319,9250.0,0.72
2011-11-13,119.6531,-38.3319,9250.0,0.84
2011-11-14,119.6531,-38.3319,9250.0,0.96
2011-11-15,119.6531,-38.3319,9250.0,0.96
2011-11-16,119.6531,-38.3319,9250.0,1.2
2011-11-17,119.6531,-38.3319,9250.0,1.2
2011-11-18,119.6531,-38.3319,9250.0,1.08
2011-11-19,119.6531,-38.3319,9250.0,0.96
2011-11-20,119.6531,-38.3319,9250.0,0.84
2011-11-21,119.6531,-38.3319,9250.0,0.84
2011-11-22,119.6531,-38.3319,9250.0,1.08
2011-11-23,119.6531,-38.3319,9250.0,1.08
2011-11-24,119.6531,-38.3319,9250.0,1.2
2011-11-25,119.6531,-38.3319,9250.0,0.96
2011-11-26,119.6531,-38.3319,9250.0,1.08
2011-11-27,119.6531,-38.3319,9250.0,1.08
2011-11-28,119.6531,-38.3319,9250.0,1.2
2011-11-29,119.6531,-38.3319,9250.0,1.2
2011-11-30,119.6531,-38.3319,9250.0,1.2
2011-12-01,119.6531,-38.3319,9250.0,0.84
2011-12-02,119.6531,-38.3319,9250.0,0.72
2011-12-03,119.6531,-38.3319,9250.0,0.72
2011-12-04,119.6531,-38.3319,9250.0,0.72
2011-12-05,119.6531,-38.3319,9250.0,0.72
2011-12-06,119.6531,-38.3319,9250.0,0.84
2011-12-07,119.6531,-38.3319,9250.0,0.96
2011-12-08,119.6531,-38.3319,9250.0,0.96
2011-12-09,119.6531,-38.3319,9250.0,0.84
2011-12-10,119.6531,-38.3319,9250.0,0.84
2011-12-11,119.6531,-38.3319,9250.0,0.84
2011-12-12,119.6531,-38.3319,9250.0,0.84
2011-12-13,119.6531,-38.3319,9250.0,0.84
2011-12-14,119.6531,-38.3319,9250.0,0.84
2011-12-15,119.6531,-38.3319,9250.0,0.84
2011-12-16,119.6531,-38.3319,9250.0,0.84
2011-12-17,119.6531,-38.3319,9250.0,0.84
2011-12-18,119.6531,-38.3319,9250.0,0.84
2011-12-19,119.6531,-38.3319,9250.0,0.72
2011-12-20,119.6531,-38.3319,9250.0,0.72
2011-12-21,119.6531,-38.3319,9250.0,0.72
2011-12-22,119.6531,-38.3319,9250.0,0.72
2011-12-23,119.6531,-38.3319,9250.0,0.72
2011-12-24,119.6531,-38.3319,9250.0,0.72
2011-12-25,119.6531,-38.3319,9250.0,0.72
2011-12-26,119.6531,-38.3319,9250.0,0.72
2011-12-27,119.6531,-38.3319,9250.0,0.72
2011-12-28,119.6531,-38.3319,9250.0,0.6
2011-12-29,119.6531,-38.3319,9250.0,0.6
2011-12-30,119.6531,-38.3319,9250.0,0.72
2011-12-31,119.6531,-38.3319,9250.0,0.96
2012-01-01,119.6531,-38.3319,9250.0,0.72
2012-01-02,119.6531,-38.3319,9250.0,0.6
2012-01-03,119.6531,-38.3319,9250.0,0.6
2012-01-04,119.6531,-38.3319,9250.0,0.24
2012-01-05,119.6531,-38.3319,9250.0,0.24
2012-01-06,119.6531,-38.3319,9250.0,0.0
2012-01-07,119.6531,-38.3319,9250.0,0.0
2012-01-08,119.6531,-38.3319,9250.0,0.0
2012-01-09,119.6531,-38.3319,9250.0,0.0
2012-01-10,119.6531,-38.3319,9250.0,0.0
2012-01-11,119.6531,-38.3319,9250.0,0.0
2012-01-12,119.6531,-38.3319,9250.0,0.0
2012-01-13,119.6531,-38.3319,9250.0,0.0
2012-01-14,119.6531,-38.3319,9250.0,0.0
2012-01-15,119.6531,-38.3319,9250.0,0.0
2012-01-16,119.6531,-38.3319,9250.0,0.0
2012-01-17,119.6531,-38.3319,9250.0,0.0
2012-01-18,119.6531,-38.3319,9250.0,0.0
2012-01-19,119.6531,-38.3319,9250.0,0.0
2012-01-20,119.6531,-38.3319,9250.0,0.5
2012-01-21,119.6531,-38.3319,9250.0,2.28
2012-01-22,119.6531,-38.3319,9250.0,2.88
2012-01-23,119.6531,-38.3319,9250.0,4.68
2012-01-24,119.6531,-38.3319,9250.0,6.0
2012-01-25,119.6531,-38.3319,9250.0,6.36
2012-01-26,119.6531,-38.3319,9250.0,6.36
2012-01-27,119.6531,-38.3319,9250.0,6.36
2012-01-28,119.6531,-38.3319,9250.0,6.36
2012-01-29,119.6531,-38.3319,9250.0,6.36
2012-01-30,119.6531,-38.3319,9250.0,6.24
2012-01-31,119.6531,-38.3319,9250.0,6.36
2012-02-01,119.6531,-38.3319,9250.0,6.36
2012-02-02,119.6531,-38.3319,9250.0,6.12
2012-02-03,119.6531,-38.3319,9250.0,6.12
2012-02-04,119.6531,-38.3319,9250.0,5.88
2012-02-05,119.6531,-38.3319,9250.0,5.76
2012-02-06,119.6531,-38.3319,9250.0,5.76
2012-02-07,119.6531,-38.3319,9250.0,6.12
2012-02-08,119.6531,-38.3319,9250.0,6.12
2012-02-09,119.6531,-38.3319,9250.0,6.12
2012-02-10,119.6531,-38.3319,9250.0,6.24
2012-02-11,119.6531,-38.3319,9250.0,6.12
2012-02-12,119.6531,-38.3319,9250.0,6.12
2012-02-13,119.6531,-38.3319,9250.0,6.36
2012-02-14,119.6531,-38.3319,9250.0,6.6
2012-02-15,119.6531,-38.3319,9250.0,6.72
2012-02-16,119.6531,-38.3319,9250.0,6.72
2012-02-17,119.6531,-38.3319,9250.0,6.84
2012-02-18,119.6531,-38.3319,9250.0,6.96
2012-02-19,119.6531,-38.3319,9250.0,6.84
2012-02-20,119.6531,-38.3319,9250.0,6.96
2012-02-21,119.6531,-38.3319,9250.0,7.08
2012-02-22,119.6531,-38.3319,9250.0,7.2
2012-02-23,119.6531,-38.3319,9250.0,7.08
2012-02-24,119.6531,-38.3319,9250.0,7.08
2012-02-25,119.6531,-38.3319,9250.0,7.08
2012-02-26,119.6531,-38.3319,9250.0,6.9
2012-02-27,119.6531,-38.3319,9250.0,6.84
2012-02-28,119.6531,-38.3319,9250.0,6.72
2012-02-29,119.6531,-38.3319,9250.0,7.15
2012-03-01,119.6531,-38.3319,9250.0,7.92
2012-03-02,119.6531,-38.3319,9250.0,8.16
2012-03-03,119.6531,-38.3319,9250.0,8.4
2012-03-04,119.6531,-38.3319,9250.0,8.52
2012-03-05,119.6531,-38.3319,9250.0,8.4
2012-03-06,119.6531,-38.3319,9250.0,8.4
2012-03-07,119.6531,-38.3319,9250.0,8.16
2012-03-08,119.6531,-38.3319,9250.0,8.52
2012-03-09,119.6531,-38.3319,9250.0,8.64
2012-03-10,119.6531,-38.3319,9250.0,8.64
2012-03-11,119.6531,-38.3319,9250.0,8.64
2012-03-12,119.6531,-38.3319,9250.0,8.64
2012-03-13,119.6531,-38.3319,9250.0,8.64
2012-03-14,119.6531,-38.3319,9250.0,8.64
2012-03-15,119.6531,-38.3319,9250.0,8.76
2012-03-16,119.6531,-38.3319,9250.0,8.88
2012-03-17,119.6531,-38.3319,9250.0,10.2
2012-03-18,119.6531,-38.3319,9250.0,10.8
2012-03-19,119.6531,-38.3319,9250.0,10.92
2012-03-20,119.6531,-38.3319,9250.0,11.28
2012-03-21,119.6531,-38.3319,9250.0,11.28
2012-03-22,119.6531,-38.3319,9250.0,11.3
2012-03-23,119.6531,-38.3319,9250.0,11.4
2012-03-24,119.6531,-38.3319,9250.0,11.4
2012-03-25,119.6531,-38.3319,9250.0,11.4
2012-03-26,119.6531,-38.3319,9250.0,11.4
2012-03-27,119.6531,-38.3319,9250.0,11.64
2012-03-28,119.6531,-38.3319,9250.0,11.88
2012-03-29,119.6531,-38.3319,9250.0,12.24
2012-03-30,119.6531,-38.3319,9250.0,12.48
2012-03-31,119.6531,-38.3319,9250.0,12.48
2012-04-01,119.6531,-38.3319,9250.0,12.6
2012-04-02,119.6531,-38.3319,9250.0,12.96
2012-04-03,119.6531,-38.3319,9250.0,13.2
2012-04-04,119.6531,-38.3319,9250.0,13.2
2012-04-05,119.6531,-38.3319,9250.0,12.84
2012-04-06,119.6531,-38.3319,9250.0,12.72
2012-04-07,119.6531,-38.3319,9250.0,12.96
2012-04-08,119.6531,-38.3319,9250.0,13.2
2012-04-09,119.6531,-38.3319,9250.0,13.2
2012-04-10,119.6531,-38.3319,9250.0,13.2
2012-04-11,119.6531,-38.3319,9250.0,12.96
2012-04-12,119.6531,-38.3319,9250.0,12.96
2012-04-13,119.6531,-38.3319,9250.0,13.68
2012-04-14,119.6531,-38.3319,9250.0,14.4
2012-04-15,119.6531,-38.3319,9250.0,14.88
2012-04-16,119.6531,-38.3319,9250.0,14.88
2012-04-17,119.6531,-38.3319,9250.0,15.12
2012-04-18,119.6531,-38.3319,9250.0,14.88
2012-04-19,119.6531,-38.3319,9250.0,14.76
2012-04-20,119.6531,-38.3319,9250.0,14.28
2012-04-21,119.6531,-38.3319,9250.0,13.68
2012-04-22,119.6531,-38.3319,9250.0,12.96
2012-04-23,119.6531,-38.3319,9250.0,12.48
2012-04-24,119.6531,-38.3319,9250.0,11.76
2012-04-25,119.6531,-38.3319,9250.0,11.04
2012-04-26,119.6531,-38.3319,9250.0,11.04
2012-04-27,119.6531,-38.3319,9250.0,11.04
2012-04-28,119.6531,-38.3319,9250.0,11.16
2012-04-29,119.6531,-38.3319,9250.0,11.04
2012-04-30,119.6531,-38.3319,9250.0,10.56
2012-05-01,119.6531,-38.3319,9250.0,9.72
2012-05-02,119.6531,-38.3319,9250.0,8.88
2012-05-03,119.6531,-38.3319,9250.0,8.4
2012-05-04,119.6531,-38.3319,9250.0,7.92
2012-05-05,119.6531,-38.3319,9250.0,7.44
2012-05-06,119.6531,-38.3319,9250.0,6.96
2012-05-07,119.6531,-38.3319,9250.0,6.36
2012-05-08,119.6531,-38.3319,9250.0,5.64
2012-05-09,119.6531,-38.3319,9250.0,4.8
2012-05-10,119.6531,-38.3319,9250.0,3.84
2012-05-11,119.6531,-38.3319,9250.0,3.6
2012-05-12,119.6531,-38.3319,9250.0,2.04
2012-05-13,119.6531,-38.3319,9250.0,0.96
2012-05-14,119.6531,-38.3319,9250.0,0.72
2012-05-15,119.6531,-38.3319,9250.0,0.48
2012-05-16,119.6531,-38.3319,9250.0,0.0
2012-05-17,119.6531,-38.3319,9250.0,0.0
2012-05-18,119.6531,-38.3319,9250.0,0.0
2012-05-19,119.6531,-38.3319,9250.0,0.0
2012-05-20,119.6531,-38.3319,9250.0,0.0
2012-05-21,119.6531,-38.3319,9250.0,0.0
2012-05-22,119.6531,-38.3319,9250.0,0.0
2012-05-23,119.6531,-38.3319,9250.0,0.0
2012-05-24,119.6531,-38.3319,9250.0,0.0
2012-05-25,119.6531,-38.3319,9250.0,0.0
2012-05-26,119.6531,-38.3319,9250.0,0.0
2012-05-27,119.6531,-38.3319,9250.0,0.0
2012-05-28,119.6531,-38.3319,9250.0,0.0
2012-05-29,119.6531,-38.3319,9250.0,0.0
2012-05-30,119.6531,-38.3319,9250.0,0.0
2012-05-31,119.6531,-38.3319,9250.0,0.0
2012-06-01,119.6531,-38.3319,9250.0,0.0
