date,lon,lat,elev,snow
2011-11-01,119.805,-38.49,8700.0,0.73
2011-11-02,119.805,-38.49,8700.0,0.37
2011-11-03,119.805,-38.49,8700.0,0.61
2011-11-04,119.805,-38.49,8700.0,1.09
2011-11-05,119.805,-38.49,8700.0,1.09
2011-11-06,119.805,-38.49,8700.0,1.57
2011-11-07,119.805,-38.49,8700.0,1.69
2011-11-08,119.805,-38.49,8700.0,1.57
2011-11-09,119.805,-38.49,8700.0,1.69
2011-11-10,119.805,-38.49,8700.0,1.93
2011-11-11,119.805,-38.49,8700.0,2.05
2011-11-12,119.805,-38.49,8700.0,2.17
2011-11-13,119.805,-38.49,8700.0,2.17
2011-11-14,119.805,-38.49,8700.0,2.29
2011-11-15,119.805,-38.49,8700.0,2.17
2011-11-16,119.805,-38.49,8700.0,2.17
2011-11-17,119.805,-38.49,8700.0,2.17
2011-11-18,119.805,-38.49,8700.0,2.29
2011-11-19,119.805,-38.49,8700.0,2.29
2011-11-20,119.805,-38.49,8700.0,2.41
2011-11-21,119.805,-38.49,8700.0,2.65
2011-11-22,119.805,-38.49,8700.0,3.01
2011-11-23,119.805,-38.49,8700.0,3.13
2011-11-24,119.805,-38.49,8700.0,3.01
2011-11-25,119.805,-38.49,8700.0,2.89
2011-11-26,119.805,-38.49,8700.0,3.01
2011-11-27,119.805,-38.49,8700.0,3.01
2011-11-28,119.805,-38.49,8700.0,3.01
2011-11-29,119.805,-38.49,8700.0,2.89
2011-11-30,119.805,-38.49,8700.0,2.89
2011-12-01,119.805,-38.49,8700.0,2.53
2011-12-02,119.805,-38.49,8700.0,2.77
2011-12-03,119.805,-38.49,8700.0,2.77
2011-12-04,119.805,-38.49,8700.0,3.01
2011-12-05,119.805,-38.49,8700.0,
2011-12-06,119.805,-38.49,8700.0,3.13
2011-12-07,119.805,-38.49,8700.0,3.49
2011-12-08,119.805,-38.49,8700.0,3.49
2011-12-09,119.805,-38.49,8700.0,3.49
2011-12-10,119.805,-38.49,8700.0,3.73
2011-12-11,119.805,-38.49,8700.0,3.73
2011-12-12,119.805,-38.49,8700.0,3.73
2011-12-13,119.805,-38.49,8700.0,3.73
2011-12-14,119.805,-38.49,8700.0,3.73
2011-12-15,119.805,-38.49,8700.0,3.85
2011-12-16,119.805,-38.49,8700.0,3.85
2011-12-17,119.805,-38.49,8700.0,3.85
2011-12-18,119.805,-38.49,8700.0,3.85
2011-12-19,119.805,-38.49,8700.0,3.85
2011-12-20,119.805,-38.49,8700.0,3.85
2011-12-21,119.805,-38.49,8700.0,3.97
2011-12-22,119.805,-38.49,8700.0,3.61
2011-12-23,119.805,-38.49,8700.0,3.61
