date,lon,lat,elev,snow
2011-11-01,122.483,-41.093,6030.0,0.0
2011-11-02,122.483,-41.093,6030.0,0.0
2011-11-03,122.483,-41.093,6030.0,0.0
2011-11-04,122.483,-41.093,6030.0,0.12
2011-11-05,122.483,-41.093,6030.0,0.12
2011-11-06,122.483,-41.093,6030.0,0.6
2011-11-07,122.483,-41.093,6030.0,0.72
2011-11-08,122.483,-41.093,6030.0,0.72
2011-11-09,122.483,-41.093,6030.0,0.84
2011-11-10,122.483,-41.093,6030.0,0.84
2011-11-11,122.483,-41.093,6030.0,0.48
2011-11-12,122.483,-41.093,6030.0,0.72
2011-11-13,122.483,-41.093,6030.0,0.72
2011-11-14,122.483,-41.093,6030.0,0.6
2011-11-15,122.483,-41.093,6030.0,0.36
2011-11-16,122.483,-41.093,6030.0,0.36
2011-11-17,122.483,-41.093,6030.0,0.36
2011-11-18,122.483,-41.093,6030.0,0.24
2011-11-19,122.483,-41.093,6030.0,0.72
2011-11-20,122.483,-41.093,6030.0,1.32
2011-11-21,122.483,-41.093,6030.0,1.44
2011-11-22,122.483,-41.093,6030.0,2.64
2011-11-23,122.483,-41.093,6030.0,3.6
2011-11-24,122.483,-41.093,6030.0,4.8
2011-11-25,122.483,-41.093,6030.0,4.8
2011-11-26,122.483,-41.093,6030.0,4.8
2011-11-27,122.483,-41.093,6030.0,4.68
2011-11-28,122.483,-41.093,6030.0,4.56
2011-11-29,122.483,-41.093,6030.0,4.44
2011-11-30,122.483,-41.093,6030.0,4.44
2011-12-01,122.483,-41.093,6030.0,4.32
2011-12-02,122.483,-41.093,6030.0,4.08
2011-12-03,122.483,-41.093,6030.0,4.2
2011-12-04,122.483,-41.093,6030.0,4.32
2011-12-05,122.483,-41.093,6030.0,4.5
2011-12-06,122.483,-41.093,6030.0,4.68
2011-12-07,122.483,-41.093,6030.0,4.32
2011-12-08,122.483,-41.093,6030.0,4.2
2011-12-09,122.483,-41.093,6030.0,4.44
