date,lon,lat,elev,snow
2011-11-01,119.662,-38.158,8400.0,0.43
2011-11-02,119.662,-38.158,8400.0,0.46
2011-11-03,119.662,-38.158,8400.0,0.72
2011-11-04,119.662,-38.158,8400.0,1.4
2011-11-05,119.662,-38.158,8400.0,1.4
2011-11-06,119.662,-38.158,8400.0,2.0
2011-11-07,119.662,-38.158,8400.0,2.1
2011-11-08,119.662,-38.158,8400.0,2.09
2011-11-09,119.662,-38.158,8400.0,2.07
2011-11-10,119.662,-38.158,8400.0,2.06
2011-11-11,119.662,-38.158,8400.0,2.06
2011-11-12,119.662,-38.158,8400.0,2.41
2011-11-13,119.662,-38.158,8400.0,2.39
2011-11-14,119.662,-38.158,8400.0,2.37
2011-11-15,119.662,-38.158,8400.0,2.41
2011-11-16,119.662,-38.158,8400.0,2.43
2011-11-17,119.662,-38.158,8400.0,2.53
2011-11-18,119.662,-38.158,8400.0,2.51
2011-11-19,119.662,-38.158,8400.0,2.59
2011-11-20,119.662,-38.158,8400.0,3.42
2011-11-21,119.662,-38.158,8400.0,3.58
2011-11-22,119.662,-38.158,8400.0,3.51
2011-11-23,119.662,-38.158,8400.0,3.53
2011-11-24,119.662,-38.158,8400.0,3.45
2011-11-25,119.662,-38.158,8400.0,3.47
2011-11-26,119.662,-38.158,8400.0,3.57
2011-11-27,119.662,-38.158,8400.0,3.61
2011-11-28,119.662,-38.158,8400.0,3.69
2011-11-29,119.662,-38.158,8400.0,3.81
2011-11-30,119.662,-38.158,8400.0,3.94
2011-12-01,119.662,-38.158,8400.0,4.24
2011-12-02,119.662,-38.158,8400.0,4.11
2011-12-03,119.662,-38.158,8400.0,4.15
2011-12-04,119.662,-38.158,8400.0,4.34
2011-12-05,119.662,-38.158,8400.0,
2011-12-06,119.662,-38.158,8400.0,4.42
2011-12-07,119.662,-38.158,8400.0,4.51
2011-12-08,119.662,-38.158,8400.0,4.54
2011-12-09,119.662,-38.158,8400.0,4.52
2011-12-10,119.662,-38.158,8400.0,4.72
2011-12-11,119.662,-38.158,8400.0,5.06
2011-12-12,119.662,-38.158,8400.0,5.12
2011-12-13,119.662,-38.158,8400.0,5.22
2011-12-14,119.662,-38.158,8400.0,5.28
2011-12-15,119.662,-38.158,8400.0,5.31
2011-12-16,119.662,-38.158,8400.0,5.32
2011-12-17,119.662,-38.158,8400.0,5.32
2011-12-18,119.662,-38.158,8400.0,5.31
2011-12-19,119.662,-38.158,8400.0,5.31
2011-12-20,119.662,-38.158,8400.0,5.4
