date,lon,lat,elev,snow
2011-11-01,120.508,-39.417,7200.0,0.09
2011-11-02,120.508,-39.417,7200.0,0.05
2011-11-03,120.508,-39.417,7200.0,0.03
2011-11-04,120.508,-39.417,7200.0,0.88
2011-11-05,120.508,-39.417,7200.0,0.87
2011-11-06,120.508,-39.417,7200.0,1.56
2011-11-07,120.508,-39.417,7200.0,1.63
2011-11-08,120.508,-39.417,7200.0,1.57
2011-11-09,120.508,-39.417,7200.0,1.54
2011-11-10,120.508,-39.417,7200.0,1.47
2011-11-11,120.508,-39.417,7200.0,1.49
2011-11-12,120.508,-39.417,7200.0,1.68
2011-11-13,120.508,-39.417,7200.0,1.64
2011-11-14,120.508,-39.417,7200.0,1.52
2011-11-15,120.508,-39.417,7200.0,1.44
2011-11-16,120.508,-39.417,7200.0,1.45
2011-11-17,120.508,-39.417,7200.0,1.42
2011-11-18,120.508,-39.417,7200.0,1.45
2011-11-19,120.508,-39.417,7200.0,3.01
2011-11-20,120.508,-39.417,7200.0,3.45
2011-11-21,120.508,-39.417,7200.0,3.79
2011-11-22,120.508,-39.417,7200.0,3.77
2011-11-23,120.508,-39.417,7200.0,3.75
2011-11-24,120.508,-39.417,7200.0,3.71
2011-11-25,120.508,-39.417,7200.0,3.9
2011-11-26,120.508,-39.417,7200.0,3.92
2011-11-27,120.508,-39.417,7200.0,3.91
2011-11-28,120.508,-39.417,7200.0,3.88
2011-11-29,120.508,-39.417,7200.0,3.87
2011-11-30,120.508,-39.417,7200.0,3.77
2011-12-01,120.508,-39.417,7200.0,3.45
2011-12-02,120.508,-39.417,7200.0,3.37
2011-12-03,120.508,-39.417,7200.0,3.32
2011-12-04,120.508,-39.417,7200.0,3.49
2011-12-05,120.508,-39.417,7200.0,
2011-12-06,120.508,-39.417,7200.0,3.6
2011-12-07,120.508,-39.417,7200.0,3.46
2011-12-08,120.508,-39.417,7200.0,3.29
2011-12-09,120.508,-39.417,7200.0,2.91
2011-12-10,120.508,-39.417,7200.0,2.98
2011-12-11,120.508,-39.417,7200.0,3.29
2011-12-12,120.508,-39.417,7200.0,3.58
2011-12-13,120.508,-39.417,7200.0,4.0
2011-12-14,120.508,-39.417,7200.0,4.78
2011-12-15,120.508,-39.417,7200.0,5.67
2011-12-16,120.508,-39.417,7200.0,5.66
2011-12-17,120.508,-39.417,7200.0,5.81
2011-12-18,120.508,-39.417,7200.0,5.33
2011-12-19,120.508,-39.417,7200.0,5.39
2011-12-20,120.508,-39.417,7200.0,5.9
2011-12-21,120.508,-39.417,7200.0,5.94
2011-12-22,120.508,-39.417,7200.0,6.84
2011-12-23,120.508,-39.417,7200.0,7.92
2011-12-24,120.508,-39.417,7200.0,7.51
2011-12-25,120.508,-39.417,7200.0,7.23
2011-12-26,120.508,-39.417,7200.0,7.45
2011-12-27,120.508,-39.417,7200.0,7.42
2011-12-28,120.508,-39.417,7200.0,7.11
2011-12-29,120.508,-39.417,7200.0,6.2
2011-12-30,120.508,-39.417,7200.0,5.58
2011-12-31,120.508,-39.417,7200.0,5.46
2012-01-01,120.508,-39.417,7200.0,5.05
2012-01-02,120.508,-39.417,7200.0,4.8
2012-01-03,120.508,-39.417,7200.0,4.54
2012-01-04,120.508,-39.417,7200.0,4.33
2012-01-05,120.508,-39.417,7200.0,4.03
2012-01-06,120.508,-39.417,7200.0,3.77
2012-01-07,120.508,-39.417,7200.0,3.89
2012-01-08,120.508,-39.417,7200.0,3.75
2012-01-09,120.508,-39.417,7200.0,3.75
2012-01-10,120.508,-39.417,7200.0,3.65
2012-01-11,120.508,-39.417,7200.0,3.6
2012-01-12,120.508,-39.417,7200.0,3.6
2012-01-13,120.508,-39.417,7200.0,3.6
2012-01-14,120.508,-39.417,7200.0,3.5
2012-01-15,120.508,-39.417,7200.0,3.5
2012-01-16,120.508,-39.417,7200.0,3.4
2012-01-17,120.508,-39.417,7200.0,3.4
2012-01-18,120.508,-39.417,7200.0,3.4
2012-01-19,120.508,-39.417,7200.0,3.45
2012-01-20,120.508,-39.417,7200.0,4.09
2012-01-21,120.508,-39.417,7200.0,4.0
2012-01-22,120.508,-39.417,7200.0,7.0
2012-01-23,120.508,-39.417,7200.0,9.0
2012-01-24,120.508,-39.417,7200.0,15.46
2012-01-25,120.508,-39.417,7200.0,14.96
2012-01-26,120.508,-39.417,7200.0,14.55
2012-01-27,120.508,-39.417,7200.0,14.33
2012-01-28,120.508,-39.417,7200.0,13.92
2012-01-29,120.508,-39.417,7200.0,13.63
2012-01-30,120.508,-39.417,7200.0,13.32
2012-01-31,120.508,-39.417,7200.0,13.18
2012-02-01,120.508,-39.417,7200.0,13.0
2012-02-02,120.508,-39.417,7200.0,13.07
2012-02-03,120.508,-39.417,7200.0,12.91
2012-02-04,120.508,-39.417,7200.0,12.75
2012-02-05,120.508,-39.417,7200.0,12.64
2012-02-06,120.508,-39.417,7200.0,12.39
2012-02-07,120.508,-39.417,7200.0,11.96
2012-02-08,120.508,-39.417,7200.0,11.97
2012-02-09,120.508,-39.417,7200.0,12.03
2012-02-10,120.508,-39.417,7200.0,12.01
2012-02-11,120.508,-39.417,7200.0,11.88
2012-02-12,120.508,-39.417,7200.0,11.81
2012-02-13,120.508,-39.417,7200.0,12.34
2012-02-14,120.508,-39.417,7200.0,12.38
2012-02-15,120.508,-39.417,7200.0,12.99
2012-02-16,120.508,-39.417,7200.0,12.93
2012-02-17,120.508,-39.417,7200.0,12.81
2012-02-18,120.508,-39.417,7200.0,12.64
2012-02-19,120.508,-39.417,7200.0,12.75
2012-02-20,120.508,-39.417,7200.0,12.48
2012-02-21,120.508,-39.417,7200.0,12.36
2012-02-22,120.508,-39.417,7200.0,12.17
2012-02-23,120.508,-39.417,7200.0,12.13
2012-02-24,120.508,-39.417,7200.0,11.93
2012-02-25,120.508,-39.417,7200.0,11.83
2012-02-26,120.508,-39.417,7200.0,11.65
2012-02-27,120.508,-39.417,7200.0,11.53
2012-02-28,120.508,-39.417,7200.0,11.64
2012-02-29,120.508,-39.417,7200.0,12.26
2012-03-01,120.508,-39.417,7200.0,14.94
2012-03-02,120.508,-39.417,7200.0,16.38
2012-03-03,120.508,-39.417,7200.0,16.6
2012-03-04,120.508,-39.417,7200.0,16.62
2012-03-05,120.508,-39.417,7200.0,16.7
2012-03-06,120.508,-39.417,7200.0,16.64
2012-03-07,120.508,-39.417,7200.0,16.86
2012-03-08,120.508,-39.417,7200.0,16.74
2012-03-09,120.508,-39.417,7200.0,16.51
2012-03-10,120.508,-39.417,7200.0,16.38
2012-03-11,120.508,-39.417,7200.0,16.17
2012-03-12,120.508,-39.417,7200.0,16.8
2012-03-13,120.508,-39.417,7200.0,16.91
2012-03-14,120.508,-39.417,7200.0,19.77
2012-03-15,120.508,-39.417,7200.0,22.25
2012-03-16,120.508,-39.417,7200.0,23.31
2012-03-17,120.508,-39.417,7200.0,27.0
2012-03-18,120.508,-39.417,7200.0,29.12
2012-03-19,120.508,-39.417,7200.0,30.19
2012-03-20,120.508,-39.417,7200.0,30.32
2012-03-21,120.508,-39.417,7200.0,30.31
2012-03-22,120.508,-39.417,7200.0,30.15
2012-03-23,120.508,-39.417,7200.0,29.98
2012-03-24,120.508,-39.417,7200.0,30.02
2012-03-25,120.508,-39.417,7200.0,30.08
2012-03-26,120.508,-39.417,7200.0,30.4
2012-03-27,120.508,-39.417,7200.0,30.73
2012-03-28,120.508,-39.417,7200.0,32.21
2012-03-29,120.508,-39.417,7200.0,33.47
2012-03-30,120.508,-39.417,7200.0,34.0
2012-03-31,120.508,-39.417,7200.0,34.08
2012-04-01,120.508,-39.417,7200.0,36.67
2012-04-02,120.508,-39.417,7200.0,37.01
2012-04-03,120.508,-39.417,7200.0,36.93
2012-04-04,120.508,-39.417,7200.0,37.34
2012-04-05,120.508,-39.417,7200.0,37.52
2012-04-06,120.508,-39.417,7200.0,37.7
2012-04-07,120.508,-39.417,7200.0,37.79
2012-04-08,120.508,-39.417,7200.0,37.73
2012-04-09,120.508,-39.417,7200.0,37.34
2012-04-10,120.508,-39.417,7200.0,37.06
2012-04-11,120.508,-39.417,7200.0,36.83
2012-04-12,120.508,-39.417,7200.0,38.1
2012-04-13,120.508,-39.417,7200.0,40.71
2012-04-14,120.508,-39.417,7200.0,41.83
2012-04-15,120.508,-39.417,7200.0,41.86
