date,lon,lat,elev,snow
2011-11-01,121.6131,-41.5869,6700.0,0.0
2011-11-02,121.6131,-41.5869,6700.0,0.0
2011-11-03,121.6131,-41.5869,6700.0,0.12
2011-11-04,121.6131,-41.5869,6700.0,0.24
2011-11-05,121.6131,-41.5869,6700.0,0.12
2011-11-06,121.6131,-41.5869,6700.0,0.48
2011-11-07,121.6131,-41.5869,6700.0,0.84
2011-11-08,121.6131,-41.5869,6700.0,0.6
2011-11-09,121.6131,-41.5869,6700.0,0.72
2011-11-10,121.6131,-41.5869,6700.0,0.96
2011-11-11,121.6131,-41.5869,6700.0,0.96
2011-11-12,121.6131,-41.5869,6700.0,0.84
2011-11-13,121.6131,-41.5869,6700.0,0.96
2011-11-14,121.6131,-41.5869,6700.0,0.84
2011-11-15,121.6131,-41.5869,6700.0,0.96
2011-11-16,121.6131,-41.5869,6700.0,1.08
2011-11-17,121.6131,-41.5869,6700.0,1.08
2011-11-18,121.6131,-41.5869,6700.0,1.08
2011-11-19,121.6131,-41.5869,6700.0,1.56
2011-11-20,121.6131,-41.5869,6700.0,1.56
2011-11-21,121.6131,-41.5869,6700.0,1.68
2011-11-22,121.6131,-41.5869,6700.0,1.92
2011-11-23,121.6131,-41.5869,6700.0,2.4
2011-11-24,121.6131,-41.5869,6700.0,2.64
2011-11-25,121.6131,-41.5869,6700.0,3.0
2011-11-26,121.6131,-41.5869,6700.0,3.0
2011-11-27,121.6131,-41.5869,6700.0,3.12
2011-11-28,121.6131,-41.5869,6700.0,3.12
2011-11-29,121.6131,-41.5869,6700.0,3.0
2011-11-30,121.6131,-41.5869,6700.0,3.12
2011-12-01,121.6131,-41.5869,6700.0,2.76
2011-12-02,121.6131,-41.5869,6700.0,2.64
2011-12-03,121.6131,-41.5869,6700.0,2.64
2011-12-04,121.6131,-41.5869,6700.0,2.88
2011-12-05,121.6131,-41.5869,6700.0,
2011-12-06,121.6131,-41.5869,6700.0,3.0
2011-12-07,121.6131,-41.5869,6700.0,3.12
2011-12-08,121.6131,-41.5869,6700.0,3.12
2011-12-09,121.6131,-41.5869,6700.0,3.0
2011-12-10,121.6131,-41.5869,6700.0,3.0
2011-12-11,121.6131,-41.5869,6700.0,3.0
2011-12-12,121.6131,-41.5869,6700.0,3.0
2011-12-13,121.6131,-41.5869,6700.0,3.0
2011-12-14,121.6131,-41.5869,6700.0,3.0
2011-12-15,121.6131,-41.5869,6700.0,3.0
2011-12-16,121.6131,-41.5869,6700.0,3.0
2011-12-17,121.6131,-41.5869,6700.0,3.12
