date,lon,lat,elev,snow
2011-11-01,119.67,-38.047,7650.0,
2011-11-02,119.67,-38.047,7650.0,
2011-11-03,119.67,-38.047,7650.0,
2011-11-04,119.67,-38.047,7650.0,
2011-11-05,119.67,-38.047,7650.0,
2011-11-06,119.67,-38.047,7650.0,
2011-11-07,119.67,-38.047,7650.0,
2011-11-08,119.67,-38.047,7650.0,
2011-11-09,119.67,-38.047,7650.0,
2011-11-10,119.67,-38.047,7650.0,
2011-11-11,119.67,-38.047,7650.0,
2011-11-12,119.67,-38.047,7650.0,
2011-11-13,119.67,-38.047,7650.0,
2011-11-14,119.67,-38.047,7650.0,
2011-11-15,119.67,-38.047,7650.0,
2011-11-16,119.67,-38.047,7650.0,
2011-11-17,119.67,-38.047,7650.0,
2011-11-18,119.67,-38.047,7650.0,
2011-11-19,119.67,-38.047,7650.0,
2011-11-20,119.67,-38.047,7650.0,
2011-11-21,119.67,-38.047,7650.0,
2011-11-22,119.67,-38.047,7650.0,
2011-11-23,119.67,-38.047,7650.0,
2011-11-24,119.67,-38.047,7650.0,
2011-11-25,119.67,-38.047,7650.0,
2011-11-26,119.67,-38.047,7650.0,
2011-11-27,119.67,-38.047,7650.0,
2011-11-28,119.67,-38.047,7650.0,
2011-11-29,119.67,-38.047,7650.0,
2011-11-30,119.67,-38.047,7650.0,
2011-12-01,119.67,-38.047,7650.0,
2011-12-02,119.67,-38.047,7650.0,
2011-12-03,119.67,-38.047,7650.0,
2011-12-04,119.67,-38.047,7650.0,
2011-12-05,119.67,-38.047,7650.0,
2011-12-06,119.67,-38.047,7650.0,
2011-12-07,119.67,-38.047,7650.0,
2011-12-08,119.67,-38.047,7650.0,
2011-12-09,119.67,-38.047,7650.0,
2011-12-10,119.67,-38.047,7650.0,
2011-12-11,119.67,-38.047,7650.0,
2011-12-12,119.67,-38.047,7650.0,
2011-12-13,119.67,-38.047,7650.0,
2011-12-14,119.67,-38.047,7650.0,
2011-12-15,119.67,-38.047,7650.0,
2011-12-16,119.67,-38.047,7650.0,
2011-12-17,119.67,-38.047,7650.0,
2011-12-18,119.67,-38.047,7650.0,
2011-12-19,119.67,-38.047,7650.0,
2011-12-20,119.67,-38.047,7650.0,
2011-12-21,119.67,-38.047,7650.0,
2011-12-22,119.67,-38.047,7650.0,
2011-12-23,119.67,-38.047,7650.0,
2011-12-24,119.67,-38.047,7650.0,
2011-12-25,119.67,-38.047,7650.0,
2011-12-26,119.67,-38.047,7650.0,
2011-12-27,119.67,-38.047,7650.0,
2011-12-28,119.67,-38.047,7650.0,
2011-12-29,119.67,-38.047,7650.0,
2011-12-30,119.67,-38.047,7650.0,
2011-12-31,119.67,-38.047,7650.0,
2012-01-01,119.67,-38.047,7650.0,
2012-01-02,119.67,-38.047,7650.0,
2012-01-03,119.67,-38.047,7650.0,
2012-01-04,119.67,-38.047,7650.0,2.63
2012-01-05,119.67,-38.047,7650.0,2.56
2012-01-06,119.67,-38.047,7650.0,2.28
2012-01-07,119.67,-38.047,7650.0,2.13
2012-01-08,119.67,-38.047,7650.0,2.1
2012-01-09,119.67,-38.047,7650.0,2.05
2012-01-10,119.67,-38.047,7650.0,2.0
2012-01-11,119.67,-38.047,7650.0,2.21
2012-01-12,119.67,-38.047,7650.0,1.83
2012-01-13,119.67,-38.047,7650.0,1.84
2012-01-14,119.67,-38.047,7650.0,1.79
