date,lon,lat,elev,snow
2011-11-01,122.5277,-41.3023,7150.0,1.08
2011-11-02,122.5277,-41.3023,7150.0,1.08
2011-11-03,122.5277,-41.3023,7150.0,1.08
2011-11-04,122.5277,-41.3023,7150.0,1.08
2011-11-05,122.5277,-41.3023,7150.0,0.96
2011-11-06,122.5277,-41.3023,7150.0,1.2
2011-11-07,122.5277,-41.3023,7150.0,1.32
2011-11-08,122.5277,-41.3023,7150.0,1.32
2011-11-09,122.5277,-41.3023,7150.0,1.44
2011-11-10,122.5277,-41.3023,7150.0,1.44
2011-11-11,122.5277,-41.3023,7150.0,1.32
2011-11-12,122.5277,-41.3023,7150.0,1.32
2011-11-13,122.5277,-41.3023,7150.0,1.44
2011-11-14,122.5277,-41.3023,7150.0,1.2
2011-11-15,122.5277,-41.3023,7150.0,1.2
2011-11-16,122.5277,-41.3023,7150.0,1.2
2011-11-17,122.5277,-41.3023,7150.0,1.2
2011-11-18,122.5277,-41.3023,7150.0,0.96
2011-11-19,122.5277,-41.3023,7150.0,1.08
2011-11-20,122.5277,-41.3023,7150.0,1.32
2011-11-21,122.5277,-41.3023,7150.0,1.44
2011-11-22,122.5277,-41.3023,7150.0,1.8
2011-11-23,122.5277,-41.3023,7150.0,
2011-11-24,122.5277,-41.3023,7150.0,
2011-11-25,122.5277,-41.3023,7150.0,
2011-11-26,122.5277,-41.3023,7150.0,3.12
2011-11-27,122.5277,-41.3023,7150.0,3.24
2011-11-28,122.5277,-41.3023,7150.0,3.24
2011-11-29,122.5277,-41.3023,7150.0,3.12
2011-11-30,122.5277,-41.3023,7150.0,3.12
2011-12-01,122.5277,-41.3023,7150.0,3.0
2011-12-02,122.5277,-41.3023,7150.0,3.0
2011-12-03,122.5277,-41.3023,7150.0,3.0
2011-12-04,122.5277,-41.3023,7150.0,3.0
2011-12-05,122.5277,-41.3023,7150.0,3.0
2011-12-06,122.5277,-41.3023,7150.0,3.0
2011-12-07,122.5277,-41.3023,7150.0,3.12
2011-12-08,122.5277,-41.3023,7150.0,3.12
2011-12-09,122.5277,-41.3023,7150.0,3.12
2011-12-10,122.5277,-41.3023,7150.0,3.0
2011-12-11,122.5277,-41.3023,7150.0,3.0
2011-12-12,122.5277,-41.3023,7150.0,2.88
2011-12-13,122.5277,-41.3023,7150.0,2.76
