date,lon,lat,elev,snow
2011-11-01,122.885,-41.023,6700.0,-1.95
2011-11-02,122.885,-41.023,6700.0,-2.0
2011-11-03,122.885,-41.023,6700.0,-1.98
2011-11-04,122.885,-41.023,6700.0,-1.89
2011-11-05,122.885,-41.023,6700.0,-1.91
2011-11-06,122.885,-41.023,6700.0,-1.27
2011-11-07,122.885,-41.023,6700.0,-1.15
2011-11-08,122.885,-41.023,6700.0,-1.2
2011-11-09,122.885,-41.023,6700.0,0.43
2011-11-10,122.885,-41.023,6700.0,0.54
2011-11-11,122.885,-41.023,6700.0,0.62
2011-11-12,122.885,-41.023,6700.0,0.49
2011-11-13,122.885,-41.023,6700.0,0.5
2011-11-14,122.885,-41.023,6700.0,0.76
2011-11-15,122.885,-41.023,6700.0,0.64
2011-11-16,122.885,-41.023,6700.0,0.28
2011-11-17,122.885,-41.023,6700.0,0.02
2011-11-18,122.885,-41.023,6700.0,-0.11
2011-11-19,122.885,-41.023,6700.0,0.74
2011-11-20,122.885,-41.023,6700.0,1.65
2011-11-21,122.885,-41.023,6700.0,1.72
2011-11-22,122.885,-41.023,6700.0,2.87
2011-11-23,122.885,-41.023,6700.0,
2011-11-24,122.885,-41.023,6700.0,5.13
2011-11-25,122.885,-41.023,6700.0,5.28
2011-11-26,122.885,-41.023,6700.0,5.27
2011-11-27,122.885,-41.023,6700.0,5.24
2011-11-28,122.885,-41.023,6700.0,5.17
2011-11-29,122.885,-41.023,6700.0,5.23
2011-11-30,122.885,-41.023,6700.0,5.16
2011-12-01,122.885,-41.023,6700.0,5.07
2011-12-02,122.885,-41.023,6700.0,4.92
2011-12-03,122.885,-41.023,6700.0,4.97
2011-12-04,122.885,-41.023,6700.0,4.8
2011-12-05,122.885,-41.023,6700.0,
2011-12-06,122.885,-41.023,6700.0,4.85
2011-12-07,122.885,-41.023,6700.0,4.83
2011-12-08,122.885,-41.023,6700.0,4.99
2011-12-09,122.885,-41.023,6700.0,5.1
2011-12-10,122.885,-41.023,6700.0,5.35
2011-12-11,122.885,-41.023,6700.0,5.45
2011-12-12,122.885,-41.023,6700.0,5.42
2011-12-13,122.885,-41.023,6700.0,5.34
2011-12-14,122.885,-41.023,6700.0,4.91
2011-12-15,122.885,-41.023,6700.0,4.78
2011-12-16,122.885,-41.023,6700.0,5.22
2011-12-17,122.885,-41.023,6700.0,5.35
2011-12-18,122.885,-41.023,6700.0,5.49
2011-12-19,122.885,-41.023,6700.0,5.39
2011-12-20,122.885,-41.023,6700.0,5.43
2011-12-21,122.885,-41.023,6700.0,5.25
2011-12-22,122.885,-41.023,6700.0,5.28
2011-12-23,122.885,-41.023,6700.0,5.51
2011-12-24,122.885,-41.023,6700.0,5.21
2011-12-25,122.885,-41.023,6700.0,5.18
2011-12-26,122.885,-41.023,6700.0,5.04
2011-12-27,122.885,-41.023,6700.0,5.0
2011-12-28,122.885,-41.023,6700.0,4.99
2011-12-29,122.885,-41.023,6700.0,5.0
2011-12-30,122.885,-41.023,6700.0,5.05
2011-12-31,122.885,-41.023,6700.0,5.37
2012-01-01,122.885,-41.023,6700.0,4.52
2012-01-02,122.885,-41.023,6700.0,4.89
2012-01-03,122.885,-41.023,6700.0,5.35
2012-01-04,122.885,-41.023,6700.0,5.35
2012-01-05,122.885,-41.023,6700.0,5.2
2012-01-06,122.885,-41.023,6700.0,5.08
2012-01-07,122.885,-41.023,6700.0,5.0
2012-01-08,122.885,-41.023,6700.0,5.0
2012-01-09,122.885,-41.023,6700.0,5.0
2012-01-10,122.885,-41.023,6700.0,5.0
2012-01-11,122.885,-41.023,6700.0,5.0
2012-01-12,122.885,-41.023,6700.0,5.0
2012-01-13,122.885,-41.023,6700.0,4.9
2012-01-14,122.885,-41.023,6700.0,4.8
2012-01-15,122.885,-41.023,6700.0,4.7
2012-01-16,122.885,-41.023,6700.0,4.7
2012-01-17,122.885,-41.023,6700.0,4.6
2012-01-18,122.885,-41.023,6700.0,6.18
2012-01-19,122.885,-41.023,6700.0,7.85
2012-01-20,122.885,-41.023,6700.0,10.08
2012-01-21,122.885,-41.023,6700.0,13.43
2012-01-22,122.885,-41.023,6700.0,13.82
2012-01-23,122.885,-41.023,6700.0,16.01
2012-01-24,122.885,-41.023,6700.0,16.13
2012-01-25,122.885,-41.023,6700.0,15.55
2012-01-26,122.885,-41.023,6700.0,15.34
2012-01-27,122.885,-41.023,6700.0,15.31
2012-01-28,122.885,-41.023,6700.0,15.09
2012-01-29,122.885,-41.023,6700.0,15.28
2012-01-30,122.885,-41.023,6700.0,15.61
2012-01-31,122.885,-41.023,6700.0,15.5
2012-02-01,122.885,-41.023,6700.0,15.9
2012-02-02,122.885,-41.023,6700.0,15.95
2012-02-03,122.885,-41.023,6700.0,16.07
2012-02-04,122.885,-41.023,6700.0,16.0
2012-02-05,122.885,-41.023,6700.0,15.87
2012-02-06,122.885,-41.023,6700.0,15.87
2012-02-07,122.885,-41.023,6700.0,15.74
2012-02-08,122.885,-41.023,6700.0,16.64
2012-02-09,122.885,-41.023,6700.0,16.52
2012-02-10,122.885,-41.023,6700.0,16.56
2012-02-11,122.885,-41.023,6700.0,16.6
2012-02-12,122.885,-41.023,6700.0,16.54
2012-02-13,122.885,-41.023,6700.0,16.97
2012-02-14,122.885,-41.023,6700.0,16.96
2012-02-15,122.885,-41.023,6700.0,16.54
2012-02-16,122.885,-41.023,6700.0,16.14
2012-02-17,122.885,-41.023,6700.0,15.63
2012-02-18,122.885,-41.023,6700.0,15.32
2012-02-19,122.885,-41.023,6700.0,15.38
2012-02-20,122.885,-41.023,6700.0,15.06
2012-02-21,122.885,-41.023,6700.0,14.67
2012-02-22,122.885,-41.023,6700.0,14.43
2012-02-23,122.885,-41.023,6700.0,14.26
2012-02-24,122.885,-41.023,6700.0,14.03
2012-02-25,122.885,-41.023,6700.0,13.94
2012-02-26,122.885,-41.023,6700.0,13.91
2012-02-27,122.885,-41.023,6700.0,14.02
2012-02-28,122.885,-41.023,6700.0,13.9
2012-02-29,122.885,-41.023,6700.0,15.11
2012-03-01,122.885,-41.023,6700.0,15.58
2012-03-02,122.885,-41.023,6700.0,15.6
2012-03-03,122.885,-41.023,6700.0,15.41
2012-03-04,122.885,-41.023,6700.0,15.29
2012-03-05,122.885,-41.023,6700.0,15.26
2012-03-06,122.885,-41.023,6700.0,15.32
2012-03-07,122.885,-41.023,6700.0,15.17
2012-03-08,122.885,-41.023,6700.0,14.99
2012-03-09,122.885,-41.023,6700.0,14.88
2012-03-10,122.885,-41.023,6700.0,14.88
2012-03-11,122.885,-41.023,6700.0,14.83
2012-03-12,122.885,-41.023,6700.0,15.29
2012-03-13,122.885,-41.023,6700.0,15.94
2012-03-14,122.885,-41.023,6700.0,17.13
2012-03-15,122.885,-41.023,6700.0,18.09
2012-03-16,122.885,-41.023,6700.0,19.79
2012-03-17,122.885,-41.023,6700.0,20.95
2012-03-18,122.885,-41.023,6700.0,21.35
2012-03-19,122.885,-41.023,6700.0,21.86
2012-03-20,122.885,-41.023,6700.0,22.25
2012-03-21,122.885,-41.023,6700.0,22.86
2012-03-22,122.885,-41.023,6700.0,22.88
2012-03-23,122.885,-41.023,6700.0,22.9
2012-03-24,122.885,-41.023,6700.0,23.53
2012-03-25,122.885,-41.023,6700.0,25.55
2012-03-26,122.885,-41.023,6700.0,26.62
