date,lon,lat,elev,snow
2011-11-01,122.2464,-41.3504,6750.0,0.0
2011-11-02,122.2464,-41.3504,6750.0,-0.12
2011-11-03,122.2464,-41.3504,6750.0,0.0
2011-11-04,122.2464,-41.3504,6750.0,0.0
2011-11-05,122.2464,-41.3504,6750.0,0.12
2011-11-06,122.2464,-41.3504,6750.0,0.12
2011-11-07,122.2464,-41.3504,6750.0,0.48
2011-11-08,122.2464,-41.3504,6750.0,0.48
2011-11-09,122.2464,-41.3504,6750.0,1.33
2011-11-10,122.2464,-41.3504,6750.0,1.33
2011-11-11,122.2464,-41.3504,6750.0,1.33
2011-11-12,122.2464,-41.3504,6750.0,1.33
2011-11-13,122.2464,-41.3504,6750.0,1.33
2011-11-14,122.2464,-41.3504,6750.0,1.33
2011-11-15,122.2464,-41.3504,6750.0,1.33
2011-11-16,122.2464,-41.3504,6750.0,1.33
2011-11-17,122.2464,-41.3504,6750.0,1.33
2011-11-18,122.2464,-41.3504,6750.0,1.45
2011-11-19,122.2464,-41.3504,6750.0,1.57
2011-11-20,122.2464,-41.3504,6750.0,1.57
2011-11-21,122.2464,-41.3504,6750.0,1.69
2011-11-22,122.2464,-41.3504,6750.0,1.93
2011-11-23,122.2464,-41.3504,6750.0,2.29
2011-11-24,122.2464,-41.3504,6750.0,2.89
2011-11-25,122.2464,-41.3504,6750.0,3.13
2011-11-26,122.2464,-41.3504,6750.0,3.13
2011-11-27,122.2464,-41.3504,6750.0,3.25
2011-11-28,122.2464,-41.3504,6750.0,3.25
2011-11-29,122.2464,-41.3504,6750.0,3.25
2011-11-30,122.2464,-41.3504,6750.0,3.25
2011-12-01,122.2464,-41.3504,6750.0,3.25
2011-12-02,122.2464,-41.3504,6750.0,3.25
2011-12-03,122.2464,-41.3504,6750.0,3.37
2011-12-04,122.2464,-41.3504,6750.0,3.37
2011-12-05,122.2464,-41.3504,6750.0,
2011-12-06,122.2464,-41.3504,6750.0,3.37
2011-12-07,122.2464,-41.3504,6750.0,3.37
2011-12-08,122.2464,-41.3504,6750.0,3.37
2011-12-09,122.2464,-41.3504,6750.0,3.37
2011-12-10,122.2464,-41.3504,6750.0,3.37
2011-12-11,122.2464,-41.3504,6750.0,3.37
2011-12-12,122.2464,-41.3504,6750.0,3.49
2011-12-13,122.2464,-41.3504,6750.0,3.6
2011-12-14,122.2464,-41.3504,6750.0,4.2
2011-12-15,122.2464,-41.3504,6750.0,4.32
2011-12-16,122.2464,-41.3504,6750.0,4.93
2011-12-17,122.2464,-41.3504,6750.0,4.93
2011-12-18,122.2464,-41.3504,6750.0,4.93
2011-12-19,122.2464,-41.3504,6750.0,4.81
2011-12-20,122.2464,-41.3504,6750.0,4.81
2011-12-21,122.2464,-41.3504,6750.0,4.81
2011-12-22,122.2464,-41.3504,6750.0,4.69
2011-12-23,122.2464,-41.3504,6750.0,4.69
2011-12-24,122.2464,-41.3504,6750.0,4.69
2011-12-25,122.2464,-41.3504,6750.0,4.69
2011-12-26,122.2464,-41.3504,6750.0,4.69
