date,lon,lat,elev,snow
2011-11-01,122.8,-41.008,6400.0,1.31
2011-11-02,122.8,-41.008,6400.0,1.25
2011-11-03,122.8,-41.008,6400.0,1.06
2011-11-04,122.8,-41.008,6400.0,1.16
2011-11-05,122.8,-41.008,6400.0,1.21
2011-11-06,122.8,-41.008,6400.0,1.72
2011-11-07,122.8,-41.008,6400.0,1.81
2011-11-08,122.8,-41.008,6400.0,1.79
2011-11-09,122.8,-41.008,6400.0,0.3
2011-11-10,122.8,-41.008,6400.0,0.22
2011-11-11,122.8,-41.008,6400.0,0.14
2011-11-12,122.8,-41.008,6400.0,0.17
2011-11-13,122.8,-41.008,6400.0,0.16
2011-11-14,122.8,-41.008,6400.0,-0.14
2011-11-15,122.8,-41.008,6400.0,-0.26
2011-11-16,122.8,-41.008,6400.0,-0.25
2011-11-17,122.8,-41.008,6400.0,-0.43
2011-11-18,122.8,-41.008,6400.0,-0.27
2011-11-19,122.8,-41.008,6400.0,0.0
2011-11-20,122.8,-41.008,6400.0,0.95
2011-11-21,122.8,-41.008,6400.0,1.09
2011-11-22,122.8,-41.008,6400.0,1.68
2011-11-23,122.8,-41.008,6400.0,3.41
2011-11-24,122.8,-41.008,6400.0,
2011-11-25,122.8,-41.008,6400.0,4.47
2011-11-26,122.8,-41.008,6400.0,4.45
2011-11-27,122.8,-41.008,6400.0,4.39
2011-11-28,122.8,-41.008,6400.0,4.19
2011-11-29,122.8,-41.008,6400.0,4.17
2011-11-30,122.8,-41.008,6400.0,4.03
2011-12-01,122.8,-41.008,6400.0,3.91
2011-12-02,122.8,-41.008,6400.0,3.77
2011-12-03,122.8,-41.008,6400.0,3.69
2011-12-04,122.8,-41.008,6400.0,3.61
2011-12-05,122.8,-41.008,6400.0,3.57
2011-12-06,122.8,-41.008,6400.0,3.54
2011-12-07,122.8,-41.008,6400.0,3.37
2011-12-08,122.8,-41.008,6400.0,3.49
2011-12-09,122.8,-41.008,6400.0,3.37
2011-12-10,122.8,-41.008,6400.0,3.48
2011-12-11,122.8,-41.008,6400.0,3.32
2011-12-12,122.8,-41.008,6400.0,3.64
2011-12-13,122.8,-41.008,6400.0,3.81
2011-12-14,122.8,-41.008,6400.0,3.88
2011-12-15,122.8,-41.008,6400.0,3.95
2011-12-16,122.8,-41.008,6400.0,3.75
2011-12-17,122.8,-41.008,6400.0,3.43
2011-12-18,122.8,-41.008,6400.0,3.29
2011-12-19,122.8,-41.008,6400.0,3.37
2011-12-20,122.8,-41.008,6400.0,3.3
2011-12-21,122.8,-41.008,6400.0,3.53
2011-12-22,122.8,-41.008,6400.0,3.6
2011-12-23,122.8,-41.008,6400.0,3.97
2011-12-24,122.8,-41.008,6400.0,3.57
2011-12-25,122.8,-41.008,6400.0,3.54
2011-12-26,122.8,-41.008,6400.0,3.61
2011-12-27,122.8,-41.008,6400.0,3.6
2011-12-28,122.8,-41.008,6400.0,3.6
2011-12-29,122.8,-41.008,6400.0,3.69
2011-12-30,122.8,-41.008,6400.0,3.26
2011-12-31,122.8,-41.008,6400.0,3.22
2012-01-01,122.8,-41.008,6400.0,2.68
2012-01-02,122.8,-41.008,6400.0,2.74
2012-01-03,122.8,-41.008,6400.0,2.85
2012-01-04,122.8,-41.008,6400.0,2.88
2012-01-05,122.8,-41.008,6400.0,2.54
2012-01-06,122.8,-41.008,6400.0,2.5
2012-01-07,122.8,-41.008,6400.0,2.4
2012-01-08,122.8,-41.008,6400.0,2.27
2012-01-09,122.8,-41.008,6400.0,2.0
2012-01-10,122.8,-41.008,6400.0,1.5
2012-01-11,122.8,-41.008,6400.0,1.14
2012-01-12,122.8,-41.008,6400.0,1.1
2012-01-13,122.8,-41.008,6400.0,1.1
2012-01-14,122.8,-41.008,6400.0,1.0
2012-01-15,122.8,-41.008,6400.0,0.9
2012-01-16,122.8,-41.008,6400.0,0.8
2012-01-17,122.8,-41.008,6400.0,0.7
2012-01-18,122.8,-41.008,6400.0,4.52
2012-01-19,122.8,-41.008,6400.0,3.96
2012-01-20,122.8,-41.008,6400.0,5.52
2012-01-21,122.8,-41.008,6400.0,6.5
2012-01-22,122.8,-41.008,6400.0,7.7
2012-01-23,122.8,-41.008,6400.0,9.78
2012-01-24,122.8,-41.008,6400.0,10.05
2012-01-25,122.8,-41.008,6400.0,10.48
2012-01-26,122.8,-41.008,6400.0,11.0
2012-01-27,122.8,-41.008,6400.0,10.68
2012-01-28,122.8,-41.008,6400.0,10.36
2012-01-29,122.8,-41.008,6400.0,9.87
2012-01-30,122.8,-41.008,6400.0,9.28
2012-01-31,122.8,-41.008,6400.0,8.95
2012-02-01,122.8,-41.008,6400.0,8.94
2012-02-02,122.8,-41.008,6400.0,8.84
2012-02-03,122.8,-41.008,6400.0,8.85
2012-02-04,122.8,-41.008,6400.0,8.63
2012-02-05,122.8,-41.008,6400.0,8.29
2012-02-06,122.8,-41.008,6400.0,8.32
2012-02-07,122.8,-41.008,6400.0,8.66
2012-02-08,122.8,-41.008,6400.0,10.35
2012-02-09,122.8,-41.008,6400.0,10.44
2012-02-10,122.8,-41.008,6400.0,10.4
2012-02-11,122.8,-41.008,6400.0,10.57
2012-02-12,122.8,-41.008,6400.0,10.66
2012-02-13,122.8,-41.008,6400.0,11.02
2012-02-14,122.8,-41.008,6400.0,10.8
2012-02-15,122.8,-41.008,6400.0,10.68
2012-02-16,122.8,-41.008,6400.0,10.55
2012-02-17,122.8,-41.008,6400.0,10.28
2012-02-18,122.8,-41.008,6400.0,10.01
2012-02-19,122.8,-41.008,6400.0,10.45
2012-02-20,122.8,-41.008,6400.0,10.84
2012-02-21,122.8,-41.008,6400.0,11.24
2012-02-22,122.8,-41.008,6400.0,10.96
2012-02-23,122.8,-41.008,6400.0,10.98
2012-02-24,122.8,-41.008,6400.0,10.98
2012-02-25,122.8,-41.008,6400.0,11.0
2012-02-26,122.8,-41.008,6400.0,11.0
2012-02-27,122.8,-41.008,6400.0,11.0
2012-02-28,122.8,-41.008,6400.0,12.08
2012-02-29,122.8,-41.008,6400.0,13.82
2012-03-01,122.8,-41.008,6400.0,14.52
2012-03-02,122.8,-41.008,6400.0,14.64
2012-03-03,122.8,-41.008,6400.0,13.68
2012-03-04,122.8,-41.008,6400.0,13.56
2012-03-05,122.8,-41.008,6400.0,14.28
2012-03-06,122.8,-41.008,6400.0,14.88
2012-03-07,122.8,-41.008,6400.0,15.27
2012-03-08,122.8,-41.008,6400.0,15.33
2012-03-09,122.8,-41.008,6400.0,15.36
2012-03-10,122.8,-41.008,6400.0,15.32
2012-03-11,122.8,-41.008,6400.0,15.14
2012-03-12,122.8,-41.008,6400.0,15.63
2012-03-13,122.8,-41.008,6400.0,16.8
2012-03-14,122.8,-41.008,6400.0,18.32
2012-03-15,122.8,-41.008,6400.0,19.13
2012-03-16,122.8,-41.008,6400.0,18.82
2012-03-17,122.8,-41.008,6400.0,20.72
2012-03-18,122.8,-41.008,6400.0,21.09
2012-03-19,122.8,-41.008,6400.0,21.29
2012-03-20,122.8,-41.008,6400.0,21.41
2012-03-21,122.8,-41.008,6400.0,21.53
2012-03-22,122.8,-41.008,6400.0,21.43
2012-03-23,122.8,-41.008,6400.0,21.33
2012-03-24,122.8,-41.008,6400.0,21.84
2012-03-25,122.8,-41.008,6400.0,23.76
2012-03-26,122.8,-41.008,6400.0,24.68
2012-03-27,122.8,-41.008,6400.0,26.65
2012-03-28,122.8,-41.008,6400.0,31.54
2012-03-29,122.8,-41.008,6400.0,32.05
2012-03-30,122.8,-41.008,6400.0,34.6
2012-03-31,122.8,-41.008,6400.0,34.4
2012-04-01,122.8,-41.008,6400.0,37.87
2012-04-02,122.8,-41.008,6400.0,38.26
2012-04-03,122.8,-41.008,6400.0,38.72
2012-04-04,122.8,-41.008,6400.0,39.3
2012-04-05,122.8,-41.008,6400.0,39.53
2012-04-06,122.8,-41.008,6400.0,39.99
2012-04-07,122.8,-41.008,6400.0,40.14
2012-04-08,122.8,-41.008,6400.0,40.35
2012-04-09,122.8,-41.008,6400.0,40.4
2012-04-10,122.8,-41.008,6400.0,40.35
