date,lon,lat,elev,snow
2011-11-01,121.938,-41.17,5400.0,0.06
2011-11-02,121.938,-41.17,5400.0,0.06
2011-11-03,121.938,-41.17,5400.0,0.18
2011-11-04,121.938,-41.17,5400.0,0.3
2011-11-05,121.938,-41.17,5400.0,0.54
2011-11-06,121.938,-41.17,5400.0,0.9
2011-11-07,121.938,-41.17,5400.0,1.02
2011-11-08,121.938,-41.17,5400.0,1.02
2011-11-09,121.938,-41.17,5400.0,1.02
2011-11-10,121.938,-41.17,5400.0,1.02
2011-11-11,121.938,-41.17,5400.0,1.0
2011-11-12,121.938,-41.17,5400.0,1.26
2011-11-13,121.938,-41.17,5400.0,1.5
2011-11-14,121.938,-41.17,5400.0,1.26
2011-11-15,121.938,-41.17,5400.0,1.1
2011-11-16,121.938,-41.17,5400.0,1.14
2011-11-17,121.938,-41.17,5400.0,1.02
2011-11-18,121.938,-41.17,5400.0,1.02
2011-11-19,121.938,-41.17,5400.0,1.02
2011-11-20,121.938,-41.17,5400.0,1.26
2011-11-21,121.938,-41.17,5400.0,1.38
2011-11-22,121.938,-41.17,5400.0,2.7
2011-11-23,121.938,-41.17,5400.0,3.78
2011-11-24,121.938,-41.17,5400.0,4.74
2011-11-25,121.938,-41.17,5400.0,4.86
2011-11-26,121.938,-41.17,5400.0,4.74
2011-11-27,121.938,-41.17,5400.0,4.74
2011-11-28,121.938,-41.17,5400.0,4.74
2011-11-29,121.938,-41.17,5400.0,4.26
2011-11-30,121.938,-41.17,5400.0,4.26
2011-12-01,121.938,-41.17,5400.0,4.26
2011-12-02,121.938,-41.17,5400.0,4.15
2011-12-03,121.938,-41.17,5400.0,4.0
2011-12-04,121.938,-41.17,5400.0,3.78
2011-12-05,121.938,-41.17,5400.0,3.0
2011-12-06,121.938,-41.17,5400.0,2.75
2011-12-07,121.938,-41.17,5400.0,2.46
2011-12-08,121.938,-41.17,5400.0,2.7
2011-12-09,121.938,-41.17,5400.0,2.34
2011-12-10,121.938,-41.17,5400.0,3.78
2011-12-11,121.938,-41.17,5400.0,4.86
2011-12-12,121.938,-41.17,5400.0,4.74
2011-12-13,121.938,-41.17,5400.0,4.5
2011-12-14,121.938,-41.17,5400.0,6.18
2011-12-15,121.938,-41.17,5400.0,7.74
2011-12-16,121.938,-41.17,5400.0,6.3
2011-12-17,121.938,-41.17,5400.0,5.7
2011-12-18,121.938,-41.17,5400.0,5.1
2011-12-19,121.938,-41.17,5400.0,5.1
2011-12-20,121.938,-41.17,5400.0,5.58
2011-12-21,121.938,-41.17,5400.0,5.94
2011-12-22,121.938,-41.17,5400.0,6.18
2011-12-23,121.938,-41.17,5400.0,8.58
2011-12-24,121.938,-41.17,5400.0,9.06
2011-12-25,121.938,-41.17,5400.0,9.06
2011-12-26,121.938,-41.17,5400.0,9.3
2011-12-27,121.938,-41.17,5400.0,9.42
2011-12-28,121.938,-41.17,5400.0,9.18
2011-12-29,121.938,-41.17,5400.0,7.5
2011-12-30,121.938,-41.17,5400.0,6.42
2011-12-31,121.938,-41.17,5400.0,5.58
2012-01-01,121.938,-41.17,5400.0,7.38
2012-01-02,121.938,-41.17,5400.0,6.54
2012-01-03,121.938,-41.17,5400.0,6.06
2012-01-04,121.938,-41.17,5400.0,5.46
2012-01-05,121.938,-41.17,5400.0,5.22
2012-01-06,121.938,-41.17,5400.0,4.62
2012-01-07,121.938,-41.17,5400.0,6.78
2012-01-08,121.938,-41.17,5400.0,6.9
2012-01-09,121.938,-41.17,5400.0,7.38
2012-01-10,121.938,-41.17,5400.0,8.7
2012-01-11,121.938,-41.17,5400.0,8.34
2012-01-12,121.938,-41.17,5400.0,9.06
2012-01-13,121.938,-41.17,5400.0,10.26
2012-01-14,121.938,-41.17,5400.0,10.98
2012-01-15,121.938,-41.17,5400.0,11.46
2012-01-16,121.938,-41.17,5400.0,10.86
2012-01-17,121.938,-41.17,5400.0,10.98
2012-01-18,121.938,-41.17,5400.0,11.34
2012-01-19,121.938,-41.17,5400.0,11.82
2012-01-20,121.938,-41.17,5400.0,12.42
2012-01-21,121.938,-41.17,5400.0,13.38
2012-01-22,121.938,-41.17,5400.0,13.62
2012-01-23,121.938,-41.17,5400.0,14.1
2012-01-24,121.938,-41.17,5400.0,14.1
2012-01-25,121.938,-41.17,5400.0,14.22
2012-01-26,121.938,-41.17,5400.0,14.82
2012-01-27,121.938,-41.17,5400.0,14.34
2012-01-28,121.938,-41.17,5400.0,13.86
2012-01-29,121.938,-41.17,5400.0,13.98
2012-01-30,121.938,-41.17,5400.0,13.98
2012-01-31,121.938,-41.17,5400.0,13.86
2012-02-01,121.938,-41.17,5400.0,14.34
2012-02-02,121.938,-41.17,5400.0,14.46
2012-02-03,121.938,-41.17,5400.0,14.58
2012-02-04,121.938,-41.17,5400.0,14.58
2012-02-05,121.938,-41.17,5400.0,14.7
2012-02-06,121.938,-41.17,5400.0,14.82
2012-02-07,121.938,-41.17,5400.0,15.06
2012-02-08,121.938,-41.17,5400.0,15.18
2012-02-09,121.938,-41.17,5400.0,15.3
2012-02-10,121.938,-41.17,5400.0,15.42
2012-02-11,121.938,-41.17,5400.0,15.54
2012-02-12,121.938,-41.17,5400.0,15.3
2012-02-13,121.938,-41.17,5400.0,15.66
2012-02-14,121.938,-41.17,5400.0,15.54
2012-02-15,121.938,-41.17,5400.0,15.54
2012-02-16,121.938,-41.17,5400.0,15.42
2012-02-17,121.938,-41.17,5400.0,15.42
2012-02-18,121.938,-41.17,5400.0,15.42
2012-02-19,121.938,-41.17,5400.0,14.94
2012-02-20,121.938,-41.17,5400.0,14.82
2012-02-21,121.938,-41.17,5400.0,14.7
2012-02-22,121.938,-41.17,5400.0,14.7
2012-02-23,121.938,-41.17,5400.0,14.58
2012-02-24,121.938,-41.17,5400.0,14.34
2012-02-25,121.938,-41.17,5400.0,14.22
2012-02-26,121.938,-41.17,5400.0,13.62
2012-02-27,121.938,-41.17,5400.0,13.38
2012-02-28,121.938,-41.17,5400.0,13.02
2012-02-29,121.938,-41.17,5400.0,14.01
2012-03-01,121.938,-41.17,5400.0,14.46
2012-03-02,121.938,-41.17,5400.0,14.46
2012-03-03,121.938,-41.17,5400.0,14.82
2012-03-04,121.938,-41.17,5400.0,14.94
2012-03-05,121.938,-41.17,5400.0,15.18
2012-03-06,121.938,-41.17,5400.0,15.42
2012-03-07,121.938,-41.17,5400.0,14.94
2012-03-08,121.938,-41.17,5400.0,14.94
2012-03-09,121.938,-41.17,5400.0,14.82
2012-03-10,121.938,-41.17,5400.0,15.06
2012-03-11,121.938,-41.17,5400.0,15.06
2012-03-12,121.938,-41.17,5400.0,15.54
2012-03-13,121.938,-41.17,5400.0,15.78
2012-03-14,121.938,-41.17,5400.0,18.18
2012-03-15,121.938,-41.17,5400.0,20.22
2012-03-16,121.938,-41.17,5400.0,20.82
2012-03-17,121.938,-41.17,5400.0,21.06
2012-03-18,121.938,-41.17,5400.0,19.74
2012-03-19,121.938,-41.17,5400.0,19.02
2012-03-20,121.938,-41.17,5400.0,18.66
2012-03-21,121.938,-41.17,5400.0,18.78
2012-03-22,121.938,-41.17,5400.0,19.0
2012-03-23,121.938,-41.17,5400.0,19.74
2012-03-24,121.938,-41.17,5400.0,19.26
2012-03-25,121.938,-41.17,5400.0,19.02
2012-03-26,121.938,-41.17,5400.0,19.02
2012-03-27,121.938,-41.17,5400.0,19.62
2012-03-28,121.938,-41.17,5400.0,22.38
2012-03-29,121.938,-41.17,5400.0,23.82
2012-03-30,121.938,-41.17,5400.0,25.38
2012-03-31,121.938,-41.17,5400.0,26.46
2012-04-01,121.938,-41.17,5400.0,27.18
2012-04-02,121.938,-41.17,5400.0,27.06
2012-04-03,121.938,-41.17,5400.0,26.94
