date,lon,lat,elev,snow
2011-11-01,119.55,-37.637,8200.0,0.03
2011-11-02,119.55,-37.637,8200.0,0.3
2011-11-03,119.55,-37.637,8200.0,0.36
2011-11-04,119.55,-37.637,8200.0,0.57
2011-11-05,119.55,-37.637,8200.0,0.59
2011-11-06,119.55,-37.637,8200.0,0.92
2011-11-07,119.55,-37.637,8200.0,0.99
2011-11-08,119.55,-37.637,8200.0,0.97
2011-11-09,119.55,-37.637,8200.0,0.99
2011-11-10,119.55,-37.637,8200.0,1.0
2011-11-11,119.55,-37.637,8200.0,0.97
2011-11-12,119.55,-37.637,8200.0,1.18
2011-11-13,119.55,-37.637,8200.0,1.23
2011-11-14,119.55,-37.637,8200.0,1.24
2011-11-15,119.55,-37.637,8200.0,1.25
2011-11-16,119.55,-37.637,8200.0,1.23
2011-11-17,119.55,-37.637,8200.0,1.24
2011-11-18,119.55,-37.637,8200.0,1.46
2011-11-19,119.55,-37.637,8200.0,1.62
2011-11-20,119.55,-37.637,8200.0,1.76
2011-11-21,119.55,-37.637,8200.0,1.83
2011-11-22,119.55,-37.637,8200.0,1.94
2011-11-23,119.55,-37.637,8200.0,1.74
2011-11-24,119.55,-37.637,8200.0,1.71
2011-11-25,119.55,-37.637,8200.0,1.74
2011-11-26,119.55,-37.637,8200.0,1.61
2011-11-27,119.55,-37.637,8200.0,1.59
2011-11-28,119.55,-37.637,8200.0,1.63
2011-11-29,119.55,-37.637,8200.0,1.62
2011-11-30,119.55,-37.637,8200.0,1.6
2011-12-01,119.55,-37.637,8200.0,1.6
2011-12-02,119.55,-37.637,8200.0,1.59
2011-12-03,119.55,-37.637,8200.0,1.62
2011-12-04,119.55,-37.637,8200.0,1.44
2011-12-05,119.55,-37.637,8200.0,1.35
2011-12-06,119.55,-37.637,8200.0,1.27
2011-12-07,119.55,-37.637,8200.0,1.35
2011-12-08,119.55,-37.637,8200.0,1.39
2011-12-09,119.55,-37.637,8200.0,1.31
2011-12-10,119.55,-37.637,8200.0,1.23
2011-12-11,119.55,-37.637,8200.0,1.36
2011-12-12,119.55,-37.637,8200.0,1.53
2011-12-13,119.55,-37.637,8200.0,1.43
2011-12-14,119.55,-37.637,8200.0,1.12
2011-12-15,119.55,-37.637,8200.0,1.27
2011-12-16,119.55,-37.637,8200.0,1.13
2011-12-17,119.55,-37.637,8200.0,1.19
2011-12-18,119.55,-37.637,8200.0,1.26
2011-12-19,119.55,-37.637,8200.0,1.32
2011-12-20,119.55,-37.637,8200.0,1.2
2011-12-21,119.55,-37.637,8200.0,1.29
2011-12-22,119.55,-37.637,8200.0,1.13
2011-12-23,119.55,-37.637,8200.0,0.92
2011-12-24,119.55,-37.637,8200.0,1.09
2011-12-25,119.55,-37.637,8200.0,1.11
2011-12-26,119.55,-37.637,8200.0,1.23
2011-12-27,119.55,-37.637,8200.0,1.16
2011-12-28,119.55,-37.637,8200.0,1.24
2011-12-29,119.55,-37.637,8200.0,1.57
2011-12-30,119.55,-37.637,8200.0,1.39
2011-12-31,119.55,-37.637,8200.0,1.27
2012-01-01,119.55,-37.637,8200.0,1.37
2012-01-02,119.55,-37.637,8200.0,1.37
2012-01-03,119.55,-37.637,8200.0,1.25
2012-01-04,119.55,-37.637,8200.0,1.19
2012-01-05,119.55,-37.637,8200.0,1.22
2012-01-06,119.55,-37.637,8200.0,1.14
2012-01-07,119.55,-37.637,8200.0,1.06
2012-01-08,119.55,-37.637,8200.0,1.03
2012-01-09,119.55,-37.637,8200.0,1.0
2012-01-10,119.55,-37.637,8200.0,1.0
2012-01-11,119.55,-37.637,8200.0,1.0
2012-01-12,119.55,-37.637,8200.0,1.0
2012-01-13,119.55,-37.637,8200.0,1.0
2012-01-14,119.55,-37.637,8200.0,0.94
2012-01-15,119.55,-37.637,8200.0,1.01
2012-01-16,119.55,-37.637,8200.0,1.05
2012-01-17,119.55,-37.637,8200.0,0.79
2012-01-18,119.55,-37.637,8200.0,0.97
2012-01-19,119.55,-37.637,8200.0,1.06
2012-01-20,119.55,-37.637,8200.0,1.46
2012-01-21,119.55,-37.637,8200.0,3.47
2012-01-22,119.55,-37.637,8200.0,5.02
2012-01-23,119.55,-37.637,8200.0,6.15
2012-01-24,119.55,-37.637,8200.0,7.5
2012-01-25,119.55,-37.637,8200.0,7.5
2012-01-26,119.55,-37.637,8200.0,7.54
2012-01-27,119.55,-37.637,8200.0,7.6
2012-01-28,119.55,-37.637,8200.0,7.54
2012-01-29,119.55,-37.637,8200.0,7.5
2012-01-30,119.55,-37.637,8200.0,7.57
2012-01-31,119.55,-37.637,8200.0,7.69
2012-02-01,119.55,-37.637,8200.0,7.63
2012-02-02,119.55,-37.637,8200.0,7.64
2012-02-03,119.55,-37.637,8200.0,7.7
2012-02-04,119.55,-37.637,8200.0,7.48
2012-02-05,119.55,-37.637,8200.0,7.15
2012-02-06,119.55,-37.637,8200.0,6.85
2012-02-07,119.55,-37.637,8200.0,6.68
2012-02-08,119.55,-37.637,8200.0,6.33
2012-02-09,119.55,-37.637,8200.0,5.98
2012-02-10,119.55,-37.637,8200.0,6.18
2012-02-11,119.55,-37.637,8200.0,6.73
2012-02-12,119.55,-37.637,8200.0,6.8
2012-02-13,119.55,-37.637,8200.0,7.25
