date,lon,lat,elev,snow
2011-11-01,119.2,-37.165,7550.0,-0.51
2011-11-02,119.2,-37.165,7550.0,-0.51
2011-11-03,119.2,-37.165,7550.0,-0.51
2011-11-04,119.2,-37.165,7550.0,-0.15
2011-11-05,119.2,-37.165,7550.0,-0.03
2011-11-06,119.2,-37.165,7550.0,0.21
2011-11-07,119.2,-37.165,7550.0,0.45
2011-11-08,119.2,-37.165,7550.0,0.45
2011-11-09,119.2,-37.165,7550.0,0.45
2011-11-10,119.2,-37.165,7550.0,0.57
2011-11-11,119.2,-37.165,7550.0,0.57
2011-11-12,119.2,-37.165,7550.0,0.93
2011-11-13,119.2,-37.165,7550.0,1.17
2011-11-14,119.2,-37.165,7550.0,1.05
2011-11-15,119.2,-37.165,7550.0,1.05
2011-11-16,119.2,-37.165,7550.0,1.05
2011-11-17,119.2,-37.165,7550.0,1.05
2011-11-18,119.2,-37.165,7550.0,0.93
2011-11-19,119.2,-37.165,7550.0,0.93
2011-11-20,119.2,-37.165,7550.0,0.81
2011-11-21,119.2,-37.165,7550.0,1.53
2011-11-22,119.2,-37.165,7550.0,1.77
2011-11-23,119.2,-37.165,7550.0,1.77
2011-11-24,119.2,-37.165,7550.0,1.77
2011-11-25,119.2,-37.165,7550.0,1.77
2011-11-26,119.2,-37.165,7550.0,1.77
2011-11-27,119.2,-37.165,7550.0,1.89
2011-11-28,119.2,-37.165,7550.0,1.77
2011-11-29,119.2,-37.165,7550.0,1.89
2011-11-30,119.2,-37.165,7550.0,1.77
2011-12-01,119.2,-37.165,7550.0,1.77
2011-12-02,119.2,-37.165,7550.0,1.41
2011-12-03,119.2,-37.165,7550.0,1.2
2011-12-04,119.2,-37.165,7550.0,0.93
2011-12-05,119.2,-37.165,7550.0,0.6
2011-12-06,119.2,-37.165,7550.0,0.33
2011-12-07,119.2,-37.165,7550.0,0.45
2011-12-08,119.2,-37.165,7550.0,0.69
2011-12-09,119.2,-37.165,7550.0,0.93
2011-12-10,119.2,-37.165,7550.0,1.17
2011-12-11,119.2,-37.165,7550.0,1.41
2011-12-12,119.2,-37.165,7550.0,1.77
2011-12-13,119.2,-37.165,7550.0,1.77
2011-12-14,119.2,-37.165,7550.0,1.89
2011-12-15,119.2,-37.165,7550.0,2.13
2011-12-16,119.2,-37.165,7550.0,2.13
2011-12-17,119.2,-37.165,7550.0,2.25
2011-12-18,119.2,-37.165,7550.0,2.25
2011-12-19,119.2,-37.165,7550.0,2.13
2011-12-20,119.2,-37.165,7550.0,2.13
2011-12-21,119.2,-37.165,7550.0,2.13
2011-12-22,119.2,-37.165,7550.0,2.13
2011-12-23,119.2,-37.165,7550.0,2.01
2011-12-24,119.2,-37.165,7550.0,2.13
2011-12-25,119.2,-37.165,7550.0,2.13
2011-12-26,119.2,-37.165,7550.0,2.13
2011-12-27,119.2,-37.165,7550.0,2.13
2011-12-28,119.2,-37.165,7550.0,2.13
2011-12-29,119.2,-37.165,7550.0,2.25
2011-12-30,119.2,-37.165,7550.0,2.25
2011-12-31,119.2,-37.165,7550.0,2.37
2012-01-01,119.2,-37.165,7550.0,2.25
2012-01-02,119.2,-37.165,7550.0,2.25
2012-01-03,119.2,-37.165,7550.0,2.13
2012-01-04,119.2,-37.165,7550.0,2.25
2012-01-05,119.2,-37.165,7550.0,2.01
2012-01-06,119.2,-37.165,7550.0,2.0
2012-01-07,119.2,-37.165,7550.0,2.0
2012-01-08,119.2,-37.165,7550.0,2.0
2012-01-09,119.2,-37.165,7550.0,2.01
2012-01-10,119.2,-37.165,7550.0,1.8
2012-01-11,119.2,-37.165,7550.0,1.8
2012-01-12,119.2,-37.165,7550.0,1.8
2012-01-13,119.2,-37.165,7550.0,1.8
2012-01-14,119.2,-37.165,7550.0,2.25
2012-01-15,119.2,-37.165,7550.0,2.01
2012-01-16,119.2,-37.165,7550.0,2.13
2012-01-17,119.2,-37.165,7550.0,2.2
2012-01-18,119.2,-37.165,7550.0,2.2
2012-01-19,119.2,-37.165,7550.0,2.25
2012-01-20,119.2,-37.165,7550.0,1.41
2012-01-21,119.2,-37.165,7550.0,1.77
2012-01-22,119.2,-37.165,7550.0,2.73
2012-01-23,119.2,-37.165,7550.0,3.21
2012-01-24,119.2,-37.165,7550.0,4.29
2012-01-25,119.2,-37.165,7550.0,4.53
2012-01-26,119.2,-37.165,7550.0,4.77
2012-01-27,119.2,-37.165,7550.0,4.89
2012-01-28,119.2,-37.165,7550.0,4.89
2012-01-29,119.2,-37.165,7550.0,5.13
2012-01-30,119.2,-37.165,7550.0,5.13
2012-01-31,119.2,-37.165,7550.0,5.13
2012-02-01,119.2,-37.165,7550.0,5.01
2012-02-02,119.2,-37.165,7550.0,4.89
2012-02-03,119.2,-37.165,7550.0,4.89
2012-02-04,119.2,-37.165,7550.0,4.77
2012-02-05,119.2,-37.165,7550.0,4.53
2012-02-06,119.2,-37.165,7550.0,4.41
2012-02-07,119.2,-37.165,7550.0,4.17
2012-02-08,119.2,-37.165,7550.0,4.05
2012-02-09,119.2,-37.165,7550.0,4.17
2012-02-10,119.2,-37.165,7550.0,4.41
2012-02-11,119.2,-37.165,7550.0,4.53
2012-02-12,119.2,-37.165,7550.0,4.53
2012-02-13,119.2,-37.165,7550.0,4.65
2012-02-14,119.2,-37.165,7550.0,5.13
2012-02-15,119.2,-37.165,7550.0,5.25
2012-02-16,119.2,-37.165,7550.0,5.49
2012-02-17,119.2,-37.165,7550.0,5.49
2012-02-18,119.2,-37.165,7550.0,5.49
2012-02-19,119.2,-37.165,7550.0,5.49
2012-02-20,119.2,-37.165,7550.0,5.37
2012-02-21,119.2,-37.165,7550.0,5.25
2012-02-22,119.2,-37.165,7550.0,5.25
2012-02-23,119.2,-37.165,7550.0,5.25
2012-02-24,119.2,-37.165,7550.0,5.25
2012-02-25,119.2,-37.165,7550.0,5.25
2012-02-26,119.2,-37.165,7550.0,5.25
2012-02-27,119.2,-37.165,7550.0,5.25
2012-02-28,119.2,-37.165,7550.0,5.73
2012-02-29,119.2,-37.165,7550.0,5.85
2012-03-01,119.2,-37.165,7550.0,5.97
2012-03-02,119.2,-37.165,7550.0,5.97
2012-03-03,119.2,-37.165,7550.0,5.97
2012-03-04,119.2,-37.165,7550.0,6.09
2012-03-05,119.2,-37.165,7550.0,6.09
2012-03-06,119.2,-37.165,7550.0,6.21
2012-03-07,119.2,-37.165,7550.0,6.09
2012-03-08,119.2,-37.165,7550.0,6.21
2012-03-09,119.2,-37.165,7550.0,6.57
2012-03-10,119.2,-37.165,7550.0,6.69
2012-03-11,119.2,-37.165,7550.0,6.69
2012-03-12,119.2,-37.165,7550.0,6.57
2012-03-13,119.2,-37.165,7550.0,6.33
2012-03-14,119.2,-37.165,7550.0,5.97
2012-03-15,119.2,-37.165,7550.0,5.73
