date,lon,lat,elev,snow
2011-11-01,122.942,-41.08,5100.0,0.35
2011-11-02,122.942,-41.08,5100.0,0.35
2011-11-03,122.942,-41.08,5100.0,0.35
2011-11-04,122.942,-41.08,5100.0,0.11
2011-11-05,122.942,-41.08,5100.0,0.35
2011-11-06,122.942,-41.08,5100.0,0.59
2011-11-07,122.942,-41.08,5100.0,0.83
2011-11-08,122.942,-41.08,5100.0,0.83
2011-11-09,122.942,-41.08,5100.0,0.83
2011-11-10,122.942,-41.08,5100.0,0.83
2011-11-11,122.942,-41.08,5100.0,0.83
2011-11-12,122.942,-41.08,5100.0,0.95
2011-11-13,122.942,-41.08,5100.0,0.95
2011-11-14,122.942,-41.08,5100.0,0.95
2011-11-15,122.942,-41.08,5100.0,1.07
2011-11-16,122.942,-41.08,5100.0,0.83
2011-11-17,122.942,-41.08,5100.0,0.59
2011-11-18,122.942,-41.08,5100.0,0.47
2011-11-19,122.942,-41.08,5100.0,0.71
2011-11-20,122.942,-41.08,5100.0,0.95
2011-11-21,122.942,-41.08,5100.0,1.07
2011-11-22,122.942,-41.08,5100.0,1.19
2011-11-23,122.942,-41.08,5100.0,1.67
2011-11-24,122.942,-41.08,5100.0,2.03
2011-11-25,122.942,-41.08,5100.0,2.03
2011-11-26,122.942,-41.08,5100.0,2.03
2011-11-27,122.942,-41.08,5100.0,2.03
2011-11-28,122.942,-41.08,5100.0,2.03
2011-11-29,122.942,-41.08,5100.0,2.03
2011-11-30,122.942,-41.08,5100.0,2.03
2011-12-01,122.942,-41.08,5100.0,2.03
2011-12-02,122.942,-41.08,5100.0,2.15
2011-12-03,122.942,-41.08,5100.0,2.15
2011-12-04,122.942,-41.08,5100.0,2.15
2011-12-05,122.942,-41.08,5100.0,
2011-12-06,122.942,-41.08,5100.0,2.15
2011-12-07,122.942,-41.08,5100.0,2.03
2011-12-08,122.942,-41.08,5100.0,1.91
2011-12-09,122.942,-41.08,5100.0,1.79
2011-12-10,122.942,-41.08,5100.0,1.67
2011-12-11,122.942,-41.08,5100.0,1.79
2011-12-12,122.942,-41.08,5100.0,1.91
2011-12-13,122.942,-41.08,5100.0,2.27
2011-12-14,122.942,-41.08,5100.0,2.39
2011-12-15,122.942,-41.08,5100.0,2.63
2011-12-16,122.942,-41.08,5100.0,2.39
2011-12-17,122.942,-41.08,5100.0,2.27
