date,lon,lat,elev,snow
2011-11-01,120.033,-38.45,7200.0,0.11
2011-11-02,120.033,-38.45,7200.0,0.11
2011-11-03,120.033,-38.45,7200.0,0.11
2011-11-04,120.033,-38.45,7200.0,0.35
2011-11-05,120.033,-38.45,7200.0,0.47
2011-11-06,120.033,-38.45,7200.0,0.71
2011-11-07,120.033,-38.45,7200.0,1.07
2011-11-08,120.033,-38.45,7200.0,1.07
2011-11-09,120.033,-38.45,7200.0,1.07
2011-11-10,120.033,-38.45,7200.0,1.07
2011-11-11,120.033,-38.45,7200.0,1.07
2011-11-12,120.033,-38.45,7200.0,1.19
2011-11-13,120.033,-38.45,7200.0,1.31
2011-11-14,120.033,-38.45,7200.0,1.31
2011-11-15,120.033,-38.45,7200.0,1.31
2011-11-16,120.033,-38.45,7200.0,1.31
2011-11-17,120.033,-38.45,7200.0,1.43
2011-11-18,120.033,-38.45,7200.0,1.43
2011-11-19,120.033,-38.45,7200.0,1.43
2011-11-20,120.033,-38.45,7200.0,1.55
2011-11-21,120.033,-38.45,7200.0,1.91
2011-11-22,120.033,-38.45,7200.0,1.91
2011-11-23,120.033,-38.45,7200.0,1.91
2011-11-24,120.033,-38.45,7200.0,1.91
2011-11-25,120.033,-38.45,7200.0,1.91
2011-11-26,120.033,-38.45,7200.0,1.91
2011-11-27,120.033,-38.45,7200.0,1.91
2011-11-28,120.033,-38.45,7200.0,1.91
2011-11-29,120.033,-38.45,7200.0,1.91
2011-11-30,120.033,-38.45,7200.0,1.91
2011-12-01,120.033,-38.45,7200.0,1.91
2011-12-02,120.033,-38.45,7200.0,2.15
2011-12-03,120.033,-38.45,7200.0,2.27
2011-12-04,120.033,-38.45,7200.0,2.27
2011-12-05,120.033,-38.45,7200.0,
2011-12-06,120.033,-38.45,7200.0,2.15
2011-12-07,120.033,-38.45,7200.0,2.15
2011-12-08,120.033,-38.45,7200.0,2.15
2011-12-09,120.033,-38.45,7200.0,2.03
2011-12-10,120.033,-38.45,7200.0,2.03
2011-12-11,120.033,-38.45,7200.0,2.15
2011-12-12,120.033,-38.45,7200.0,2.15
2011-12-13,120.033,-38.45,7200.0,2.15
2011-12-14,120.033,-38.45,7200.0,2.15
2011-12-15,120.033,-38.45,7200.0,2.15
2011-12-16,120.033,-38.45,7200.0,2.03
2011-12-17,120.033,-38.45,7200.0,2.03
2011-12-18,120.033,-38.45,7200.0,2.03
2011-12-19,120.033,-38.45,7200.0,2.03
2011-12-20,120.033,-38.45,7200.0,2.03
2011-12-21,120.033,-38.45,7200.0,2.03
2011-12-22,120.033,-38.45,7200.0,2.03
2011-12-23,120.033,-38.45,7200.0,2.03
2011-12-24,120.033,-38.45,7200.0,1.91
2011-12-25,120.033,-38.45,7200.0,1.91
2011-12-26,120.033,-38.45,7200.0,1.91
2011-12-27,120.033,-38.45,7200.0,1.91
2011-12-28,120.033,-38.45,7200.0,1.91
2011-12-29,120.033,-38.45,7200.0,1.91
2011-12-30,120.033,-38.45,7200.0,1.91
2011-12-31,120.033,-38.45,7200.0,1.91
2012-01-01,120.033,-38.45,7200.0,1.91
2012-01-02,120.033,-38.45,7200.0,1.91
2012-01-03,120.033,-38.45,7200.0,1.91
2012-01-04,120.033,-38.45,7200.0,1.91
2012-01-05,120.033,-38.45,7200.0,1.91
2012-01-06,120.033,-38.45,7200.0,1.91
2012-01-07,120.033,-38.45,7200.0,1.79
2012-01-08,120.033,-38.45,7200.0,1.79
2012-01-09,120.033,-38.45,7200.0,1.79
2012-01-10,120.033,-38.45,7200.0,1.79
2012-01-11,120.033,-38.45,7200.0,1.67
2012-01-12,120.033,-38.45,7200.0,1.67
2012-01-13,120.033,-38.45,7200.0,1.55
2012-01-14,120.033,-38.45,7200.0,1.55
2012-01-15,120.033,-38.45,7200.0,1.55
2012-01-16,120.033,-38.45,7200.0,1.43
2012-01-17,120.033,-38.45,7200.0,1.07
2012-01-18,120.033,-38.45,7200.0,1.55
2012-01-19,120.033,-38.45,7200.0,1.55
2012-01-20,120.033,-38.45,7200.0,2.03
2012-01-21,120.033,-38.45,7200.0,3.71
2012-01-22,120.033,-38.45,7200.0,4.19
2012-01-23,120.033,-38.45,7200.0,5.15
2012-01-24,120.033,-38.45,7200.0,6.11
2012-01-25,120.033,-38.45,7200.0,6.23
2012-01-26,120.033,-38.45,7200.0,6.35
2012-01-27,120.033,-38.45,7200.0,6.47
2012-01-28,120.033,-38.45,7200.0,6.35
2012-01-29,120.033,-38.45,7200.0,6.35
2012-01-30,120.033,-38.45,7200.0,6.35
2012-01-31,120.033,-38.45,7200.0,6.35
2012-02-01,120.033,-38.45,7200.0,6.35
2012-02-02,120.033,-38.45,7200.0,6.47
2012-02-03,120.033,-38.45,7200.0,6.59
2012-02-04,120.033,-38.45,7200.0,6.59
2012-02-05,120.033,-38.45,7200.0,6.59
2012-02-06,120.033,-38.45,7200.0,6.59
2012-02-07,120.033,-38.45,7200.0,6.59
2012-02-08,120.033,-38.45,7200.0,6.47
2012-02-09,120.033,-38.45,7200.0,6.35
2012-02-10,120.033,-38.45,7200.0,6.35
2012-02-11,120.033,-38.45,7200.0,6.35
2012-02-12,120.033,-38.45,7200.0,6.23
2012-02-13,120.033,-38.45,7200.0,6.35
2012-02-14,120.033,-38.45,7200.0,6.59
2012-02-15,120.033,-38.45,7200.0,6.59
2012-02-16,120.033,-38.45,7200.0,6.71
2012-02-17,120.033,-38.45,7200.0,6.83
2012-02-18,120.033,-38.45,7200.0,6.83
2012-02-19,120.033,-38.45,7200.0,6.83
2012-02-20,120.033,-38.45,7200.0,6.83
2012-02-21,120.033,-38.45,7200.0,6.83
2012-02-22,120.033,-38.45,7200.0,6.83
2012-02-23,120.033,-38.45,7200.0,6.83
2012-02-24,120.033,-38.45,7200.0,6.83
2012-02-25,120.033,-38.45,7200.0,6.83
2012-02-26,120.033,-38.45,7200.0,6.83
2012-02-27,120.033,-38.45,7200.0,6.83
2012-02-28,120.033,-38.45,7200.0,6.95
2012-02-29,120.033,-38.45,7200.0,6.95
2012-03-01,120.033,-38.45,7200.0,8.03
2012-03-02,120.033,-38.45,7200.0,8.51
2012-03-03,120.033,-38.45,7200.0,8.75
2012-03-04,120.033,-38.45,7200.0,8.87
2012-03-05,120.033,-38.45,7200.0,8.99
2012-03-06,120.033,-38.45,7200.0,8.99
2012-03-07,120.033,-38.45,7200.0,8.99
2012-03-08,120.033,-38.45,7200.0,9.11
2012-03-09,120.033,-38.45,7200.0,9.23
2012-03-10,120.033,-38.45,7200.0,9.35
2012-03-11,120.033,-38.45,7200.0,9.23
2012-03-12,120.033,-38.45,7200.0,9.23
2012-03-13,120.033,-38.45,7200.0,9.11
2012-03-14,120.033,-38.45,7200.0,9.23
2012-03-15,120.033,-38.45,7200.0,9.83
2012-03-16,120.033,-38.45,7200.0,10.55
2012-03-17,120.033,-38.45,7200.0,13.07
2012-03-18,120.033,-38.45,7200.0,14.03
2012-03-19,120.033,-38.45,7200.0,14.63
2012-03-20,120.033,-38.45,7200.0,14.75
