date,lon,lat,elev,snow
2011-11-01,122.628,-41.083,6450.0,-0.12
2011-11-02,122.628,-41.083,6450.0,-0.12
2011-11-03,122.628,-41.083,6450.0,0.0
2011-11-04,122.628,-41.083,6450.0,0.0
2011-11-05,122.628,-41.083,6450.0,-0.12
2011-11-06,122.628,-41.083,6450.0,0.24
2011-11-07,122.628,-41.083,6450.0,0.6
2011-11-08,122.628,-41.083,6450.0,0.72
2011-11-09,122.628,-41.083,6450.0,0.72
2011-11-10,122.628,-41.083,6450.0,0.72
2011-11-11,122.628,-41.083,6450.0,0.72
2011-11-12,122.628,-41.083,6450.0,0.72
2011-11-13,122.628,-41.083,6450.0,0.72
2011-11-14,122.628,-41.083,6450.0,0.72
2011-11-15,122.628,-41.083,6450.0,0.48
2011-11-16,122.628,-41.083,6450.0,0.6
2011-11-17,122.628,-41.083,6450.0,0.36
2011-11-18,122.628,-41.083,6450.0,0.24
2011-11-19,122.628,-41.083,6450.0,0.36
2011-11-20,122.628,-41.083,6450.0,0.6
2011-11-21,122.628,-41.083,6450.0,0.84
2011-11-22,122.628,-41.083,6450.0,
2011-11-23,122.628,-41.083,6450.0,
2011-11-24,122.628,-41.083,6450.0,
2011-11-25,122.628,-41.083,6450.0,
2011-11-26,122.628,-41.083,6450.0,
2011-11-27,122.628,-41.083,6450.0,3.84
2011-11-28,122.628,-41.083,6450.0,3.84
2011-11-29,122.628,-41.083,6450.0,3.84
2011-11-30,122.628,-41.083,6450.0,3.72
2011-12-01,122.628,-41.083,6450.0,3.72
2011-12-02,122.628,-41.083,6450.0,3.72
2011-12-03,122.628,-41.083,6450.0,3.48
2011-12-04,122.628,-41.083,6450.0,3.36
2011-12-05,122.628,-41.083,6450.0,3.3
2011-12-06,122.628,-41.083,6450.0,3.24
2011-12-07,122.628,-41.083,6450.0,3.24
2011-12-08,122.628,-41.083,6450.0,3.24
2011-12-09,122.628,-41.083,6450.0,3.24
2011-12-10,122.628,-41.083,6450.0,3.36
2011-12-11,122.628,-41.083,6450.0,3.48
2011-12-12,122.628,-41.083,6450.0,3.48
2011-12-13,122.628,-41.083,6450.0,3.36
2011-12-14,122.628,-41.083,6450.0,3.6
2011-12-15,122.628,-41.083,6450.0,3.6
2011-12-16,122.628,-41.083,6450.0,3.6
2011-12-17,122.628,-41.083,6450.0,3.6
2011-12-18,122.628,-41.083,6450.0,3.6
2011-12-19,122.628,-41.083,6450.0,3.6
2011-12-20,122.628,-41.083,6450.0,3.6
2011-12-21,122.628,-41.083,6450.0,3.6
2011-12-22,122.628,-41.083,6450.0,3.6
2011-12-23,122.628,-41.083,6450.0,3.72
2011-12-24,122.628,-41.083,6450.0,3.72
2011-12-25,122.628,-41.083,6450.0,3.6
2011-12-26,122.628,-41.083,6450.0,3.6
2011-12-27,122.628,-41.083,6450.0,3.6
2011-12-28,122.628,-41.083,6450.0,3.6
2011-12-29,122.628,-41.083,6450.0,3.48
2011-12-30,122.628,-41.083,6450.0,3.12
2011-12-31,122.628,-41.083,6450.0,2.76
2012-01-01,122.628,-41.083,6450.0,2.64
2012-01-02,122.628,-41.083,6450.0,2.64
2012-01-03,122.628,-41.083,6450.0,2.64
2012-01-04,122.628,-41.083,6450.0,2.52
2012-01-05,122.628,-41.083,6450.0,2.52
2012-01-06,122.628,-41.083,6450.0,2.64
2012-01-07,122.628,-41.083,6450.0,2.64
2012-01-08,122.628,-41.083,6450.0,2.64
2012-01-09,122.628,-41.083,6450.0,2.64
2012-01-10,122.628,-41.083,6450.0,2.64
2012-01-11,122.628,-41.083,6450.0,2.64
2012-01-12,122.628,-41.083,6450.0,2.64
2012-01-13,122.628,-41.083,6450.0,2.64
2012-01-14,122.628,-41.083,6450.0,2.76
2012-01-15,122.628,-41.083,6450.0,2.64
2012-01-16,122.628,-41.083,6450.0,2.4
2012-01-17,122.628,-41.083,6450.0,2.52
2012-01-18,122.628,-41.083,6450.0,2.64
2012-01-19,122.628,-41.083,6450.0,3.0
2012-01-20,122.628,-41.083,6450.0,3.96
2012-01-21,122.628,-41.083,6450.0,4.6
2012-01-22,122.628,-41.083,6450.0,5.6
2012-01-23,122.628,-41.083,6450.0,6.6
2012-01-24,122.628,-41.083,6450.0,8.88
2012-01-25,122.628,-41.083,6450.0,9.0
2012-01-26,122.628,-41.083,6450.0,9.24
2012-01-27,122.628,-41.083,6450.0,9.6
2012-01-28,122.628,-41.083,6450.0,9.84
2012-01-29,122.628,-41.083,6450.0,10.08
2012-01-30,122.628,-41.083,6450.0,10.08
2012-01-31,122.628,-41.083,6450.0,10.2
2012-02-01,122.628,-41.083,6450.0,10.2
2012-02-02,122.628,-41.083,6450.0,10.68
2012-02-03,122.628,-41.083,6450.0,10.68
2012-02-04,122.628,-41.083,6450.0,10.68
2012-02-05,122.628,-41.083,6450.0,10.68
2012-02-06,122.628,-41.083,6450.0,10.68
2012-02-07,122.628,-41.083,6450.0,10.56
2012-02-08,122.628,-41.083,6450.0,10.68
2012-02-09,122.628,-41.083,6450.0,10.8
2012-02-10,122.628,-41.083,6450.0,10.92
2012-02-11,122.628,-41.083,6450.0,10.92
2012-02-12,122.628,-41.083,6450.0,11.04
2012-02-13,122.628,-41.083,6450.0,11.04
2012-02-14,122.628,-41.083,6450.0,11.28
2012-02-15,122.628,-41.083,6450.0,11.4
2012-02-16,122.628,-41.083,6450.0,11.64
2012-02-17,122.628,-41.083,6450.0,11.76
2012-02-18,122.628,-41.083,6450.0,11.76
2012-02-19,122.628,-41.083,6450.0,11.64
