date,lon,lat,elev,snow
2011-11-01,118.268,-36.2,8300.0,0.35
2011-11-02,118.268,-36.2,8300.0,1.07
2011-11-03,118.268,-36.2,8300.0,1.18
2011-11-04,118.268,-36.2,8300.0,1.05
2011-11-05,118.268,-36.2,8300.0,0.87
2011-11-06,118.268,-36.2,8300.0,1.54
2011-11-07,118.268,-36.2,8300.0,1.38
2011-11-08,118.268,-36.2,8300.0,1.36
2011-11-09,118.268,-36.2,8300.0,1.63
2011-11-10,118.268,-36.2,8300.0,1.71
2011-11-11,118.268,-36.2,8300.0,1.66
2011-11-12,118.268,-36.2,8300.0,2.18
2011-11-13,118.268,-36.2,8300.0,1.98
2011-11-14,118.268,-36.2,8300.0,1.82
2011-11-15,118.268,-36.2,8300.0,1.72
2011-11-16,118.268,-36.2,8300.0,1.69
2011-11-17,118.268,-36.2,8300.0,1.68
2011-11-18,118.268,-36.2,8300.0,1.73
2011-11-19,118.268,-36.2,8300.0,1.73
2011-11-20,118.268,-36.2,8300.0,1.75
2011-11-21,118.268,-36.2,8300.0,2.2
2011-11-22,118.268,-36.2,8300.0,2.16
2011-11-23,118.268,-36.2,8300.0,2.16
2011-11-24,118.268,-36.2,8300.0,2.19
2011-11-25,118.268,-36.2,8300.0,2.18
2011-11-26,118.268,-36.2,8300.0,2.18
2011-11-27,118.268,-36.2,8300.0,2.2
2011-11-28,118.268,-36.2,8300.0,2.21
2011-11-29,118.268,-36.2,8300.0,2.22
2011-11-30,118.268,-36.2,8300.0,2.23
2011-12-01,118.268,-36.2,8300.0,2.31
2011-12-02,118.268,-36.2,8300.0,2.27
2011-12-03,118.268,-36.2,8300.0,2.42
2011-12-04,118.268,-36.2,8300.0,3.41
2011-12-05,118.268,-36.2,8300.0,
2011-12-06,118.268,-36.2,8300.0,3.97
2011-12-07,118.268,-36.2,8300.0,4.04
2011-12-08,118.268,-36.2,8300.0,4.11
2011-12-09,118.268,-36.2,8300.0,4.16
2011-12-10,118.268,-36.2,8300.0,4.27
2011-12-11,118.268,-36.2,8300.0,4.19
2011-12-12,118.268,-36.2,8300.0,4.19
2011-12-13,118.268,-36.2,8300.0,4.28
2011-12-14,118.268,-36.2,8300.0,4.36
2011-12-15,118.268,-36.2,8300.0,4.28
2011-12-16,118.268,-36.2,8300.0,4.33
2011-12-17,118.268,-36.2,8300.0,4.27
2011-12-18,118.268,-36.2,8300.0,4.22
2011-12-19,118.268,-36.2,8300.0,4.2
2011-12-20,118.268,-36.2,8300.0,4.23
2011-12-21,118.268,-36.2,8300.0,4.33
2011-12-22,118.268,-36.2,8300.0,4.52
2011-12-23,118.268,-36.2,8300.0,4.61
2011-12-24,118.268,-36.2,8300.0,4.54
2011-12-25,118.268,-36.2,8300.0,4.5
2011-12-26,118.268,-36.2,8300.0,4.48
2011-12-27,118.268,-36.2,8300.0,4.41
2011-12-28,118.268,-36.2,8300.0,4.36
2011-12-29,118.268,-36.2,8300.0,4.34
2011-12-30,118.268,-36.2,8300.0,4.32
2011-12-31,118.268,-36.2,8300.0,4.29
2012-01-01,118.268,-36.2,8300.0,4.26
2012-01-02,118.268,-36.2,8300.0,4.23
2012-01-03,118.268,-36.2,8300.0,4.22
2012-01-04,118.268,-36.2,8300.0,4.19
2012-01-05,118.268,-36.2,8300.0,4.2
2012-01-06,118.268,-36.2,8300.0,4.21
2012-01-07,118.268,-36.2,8300.0,4.2
2012-01-08,118.268,-36.2,8300.0,4.17
2012-01-09,118.268,-36.2,8300.0,4.13
2012-01-10,118.268,-36.2,8300.0,4.12
2012-01-11,118.268,-36.2,8300.0,4.1
2012-01-12,118.268,-36.2,8300.0,4.09
2012-01-13,118.268,-36.2,8300.0,4.05
2012-01-14,118.268,-36.2,8300.0,4.01
2012-01-15,118.268,-36.2,8300.0,4.02
2012-01-16,118.268,-36.2,8300.0,4.01
2012-01-17,118.268,-36.2,8300.0,3.95
2012-01-18,118.268,-36.2,8300.0,3.91
2012-01-19,118.268,-36.2,8300.0,3.91
2012-01-20,118.268,-36.2,8300.0,3.92
2012-01-21,118.268,-36.2,8300.0,4.27
2012-01-22,118.268,-36.2,8300.0,6.42
2012-01-23,118.268,-36.2,8300.0,7.28
2012-01-24,118.268,-36.2,8300.0,8.67
2012-01-25,118.268,-36.2,8300.0,8.71
2012-01-26,118.268,-36.2,8300.0,8.75
2012-01-27,118.268,-36.2,8300.0,8.73
2012-01-28,118.268,-36.2,8300.0,8.67
2012-01-29,118.268,-36.2,8300.0,8.61
2012-01-30,118.268,-36.2,8300.0,8.78
2012-01-31,118.268,-36.2,8300.0,9.1
2012-02-01,118.268,-36.2,8300.0,9.25
2012-02-02,118.268,-36.2,8300.0,9.4
2012-02-03,118.268,-36.2,8300.0,9.43
2012-02-04,118.268,-36.2,8300.0,9.41
2012-02-05,118.268,-36.2,8300.0,9.58
2012-02-06,118.268,-36.2,8300.0,9.88
2012-02-07,118.268,-36.2,8300.0,10.0
