date,lon,lat,elev,snow
2011-11-01,120.0021,-38.6924,8353.0,0.3
2011-11-02,120.0021,-38.6924,8353.0,0.5
2011-11-03,120.0021,-38.6924,8353.0,0.6
2011-11-04,120.0021,-38.6924,8353.0,1.0
2011-11-05,120.0021,-38.6924,8353.0,1.0
2011-11-06,120.0021,-38.6924,8353.0,1.3
2011-11-07,120.0021,-38.6924,8353.0,1.4
2011-11-08,120.0021,-38.6924,8353.0,1.4
2011-11-09,120.0021,-38.6924,8353.0,1.5
2011-11-10,120.0021,-38.6924,8353.0,1.5
2011-11-11,120.0021,-38.6924,8353.0,1.5
2011-11-12,120.0021,-38.6924,8353.0,1.6
2011-11-13,120.0021,-38.6924,8353.0,1.6
2011-11-14,120.0021,-38.6924,8353.0,1.6
2011-11-15,120.0021,-38.6924,8353.0,1.6
2011-11-16,120.0021,-38.6924,8353.0,1.6
2011-11-17,120.0021,-38.6924,8353.0,1.7
2011-11-18,120.0021,-38.6924,8353.0,1.8
2011-11-19,120.0021,-38.6924,8353.0,1.9
2011-11-20,120.0021,-38.6924,8353.0,2.2
2011-11-21,120.0021,-38.6924,8353.0,2.4
2011-11-22,120.0021,-38.6924,8353.0,2.5
2011-11-23,120.0021,-38.6924,8353.0,2.5
2011-11-24,120.0021,-38.6924,8353.0,2.5
2011-11-25,120.0021,-38.6924,8353.0,2.5
2011-11-26,120.0021,-38.6924,8353.0,2.5
2011-11-27,120.0021,-38.6924,8353.0,2.5
2011-11-28,120.0021,-38.6924,8353.0,2.5
2011-11-29,120.0021,-38.6924,8353.0,2.5
2011-11-30,120.0021,-38.6924,8353.0,2.5
2011-12-01,120.0021,-38.6924,8353.0,2.5
2011-12-02,120.0021,-38.6924,8353.0,2.5
2011-12-03,120.0021,-38.6924,8353.0,2.5
2011-12-04,120.0021,-38.6924,8353.0,2.5
2011-12-05,120.0021,-38.6924,8353.0,2.5
2011-12-06,120.0021,-38.6924,8353.0,2.5
2011-12-07,120.0021,-38.6924,8353.0,2.6
2011-12-08,120.0021,-38.6924,8353.0,2.6
2011-12-09,120.0021,-38.6924,8353.0,2.6
2011-12-10,120.0021,-38.6924,8353.0,2.6
