date,lon,lat,elev,snow
2011-11-01,119.17,-37.78,10750.0,-0.75
2011-11-02,119.17,-37.78,10750.0,-0.38
2011-11-03,119.17,-37.78,10750.0,-0.62
2011-11-04,119.17,-37.78,10750.0,-0.2
2011-11-05,119.17,-37.78,10750.0,0.05
2011-11-06,119.17,-37.78,10750.0,0.13
2011-11-07,119.17,-37.78,10750.0,0.15
2011-11-08,119.17,-37.78,10750.0,0.18
2011-11-09,119.17,-37.78,10750.0,0.24
2011-11-10,119.17,-37.78,10750.0,0.26
2011-11-11,119.17,-37.78,10750.0,0.25
2011-11-12,119.17,-37.78,10750.0,0.48
2011-11-13,119.17,-37.78,10750.0,0.49
2011-11-14,119.17,-37.78,10750.0,0.49
2011-11-15,119.17,-37.78,10750.0,0.44
2011-11-16,119.17,-37.78,10750.0,0.37
2011-11-17,119.17,-37.78,10750.0,0.4
2011-11-18,119.17,-37.78,10750.0,0.24
2011-11-19,119.17,-37.78,10750.0,0.12
2011-11-20,119.17,-37.78,10750.0,0.01
2011-11-21,119.17,-37.78,10750.0,0.52
2011-11-22,119.17,-37.78,10750.0,0.6
2011-11-23,119.17,-37.78,10750.0,0.64
2011-11-24,119.17,-37.78,10750.0,2.3
2011-11-25,119.17,-37.78,10750.0,2.28
2011-11-26,119.17,-37.78,10750.0,2.21
2011-11-27,119.17,-37.78,10750.0,2.15
2011-11-28,119.17,-37.78,10750.0,2.19
2011-11-29,119.17,-37.78,10750.0,2.18
2011-11-30,119.17,-37.78,10750.0,2.15
2011-12-01,119.17,-37.78,10750.0,2.18
2011-12-02,119.17,-37.78,10750.0,2.07
2011-12-03,119.17,-37.78,10750.0,2.15
2011-12-04,119.17,-37.78,10750.0,1.84
2011-12-05,119.17,-37.78,10750.0,
2011-12-06,119.17,-37.78,10750.0,1.97
2011-12-07,119.17,-37.78,10750.0,1.88
2011-12-08,119.17,-37.78,10750.0,1.94
2011-12-09,119.17,-37.78,10750.0,2.02
2011-12-10,119.17,-37.78,10750.0,1.81
2011-12-11,119.17,-37.78,10750.0,1.87
2011-12-12,119.17,-37.78,10750.0,1.95
2011-12-13,119.17,-37.78,10750.0,1.81
2011-12-14,119.17,-37.78,10750.0,1.9
2011-12-15,119.17,-37.78,10750.0,1.82
2011-12-16,119.17,-37.78,10750.0,2.03
2011-12-17,119.17,-37.78,10750.0,1.9
2011-12-18,119.17,-37.78,10750.0,1.79
2011-12-19,119.17,-37.78,10750.0,1.96
2011-12-20,119.17,-37.78,10750.0,1.9
2011-12-21,119.17,-37.78,10750.0,1.87
2011-12-22,119.17,-37.78,10750.0,1.96
2011-12-23,119.17,-37.78,10750.0,1.58
2011-12-24,119.17,-37.78,10750.0,1.71
