date,lon,lat,elev,snow
2011-11-01,118.7354,-37.4578,9700.0,0.1
2011-11-02,118.7354,-37.4578,9700.0,0.37
2011-11-03,118.7354,-37.4578,9700.0,0.27
2011-11-04,118.7354,-37.4578,9700.0,0.31
2011-11-05,118.7354,-37.4578,9700.0,0.6
2011-11-06,118.7354,-37.4578,9700.0,0.82
2011-11-07,118.7354,-37.4578,9700.0,0.83
2011-11-08,118.7354,-37.4578,9700.0,1.16
2011-11-09,118.7354,-37.4578,9700.0,1.43
2011-11-10,118.7354,-37.4578,9700.0,1.51
2011-11-11,118.7354,-37.4578,9700.0,1.26
2011-11-12,118.7354,-37.4578,9700.0,1.35
2011-11-13,118.7354,-37.4578,9700.0,1.46
2011-11-14,118.7354,-37.4578,9700.0,1.6
2011-11-15,118.7354,-37.4578,9700.0,1.58
2011-11-16,118.7354,-37.4578,9700.0,1.62
2011-11-17,118.7354,-37.4578,9700.0,1.22
2011-11-18,118.7354,-37.4578,9700.0,1.02
2011-11-19,118.7354,-37.4578,9700.0,0.89
2011-11-20,118.7354,-37.4578,9700.0,0.84
2011-11-21,118.7354,-37.4578,9700.0,1.47
2011-11-22,118.7354,-37.4578,9700.0,1.65
2011-11-23,118.7354,-37.4578,9700.0,1.97
2011-11-24,118.7354,-37.4578,9700.0,2.04
2011-11-25,118.7354,-37.4578,9700.0,2.42
2011-11-26,118.7354,-37.4578,9700.0,2.48
2011-11-27,118.7354,-37.4578,9700.0,2.19
2011-11-28,118.7354,-37.4578,9700.0,1.93
2011-11-29,118.7354,-37.4578,9700.0,1.76
2011-11-30,118.7354,-37.4578,9700.0,1.49
2011-12-01,118.7354,-37.4578,9700.0,1.27
2011-12-02,118.7354,-37.4578,9700.0,1.49
2011-12-03,118.7354,-37.4578,9700.0,1.77
2011-12-04,118.7354,-37.4578,9700.0,2.18
2011-12-05,118.7354,-37.4578,9700.0,2.18
2011-12-06,118.7354,-37.4578,9700.0,2.18
2011-12-07,118.7354,-37.4578,9700.0,2.17
2011-12-08,118.7354,-37.4578,9700.0,1.69
2011-12-09,118.7354,-37.4578,9700.0,1.38
2011-12-10,118.7354,-37.4578,9700.0,1.15
2011-12-11,118.7354,-37.4578,9700.0,1.67
2011-12-12,118.7354,-37.4578,9700.0,1.33
2011-12-13,118.7354,-37.4578,9700.0,1.9
2011-12-14,118.7354,-37.4578,9700.0,1.87
2011-12-15,118.7354,-37.4578,9700.0,2.0
2011-12-16,118.7354,-37.4578,9700.0,2.22
2011-12-17,118.7354,-37.4578,9700.0,2.34
2011-12-18,118.7354,-37.4578,9700.0,2.82
2011-12-19,118.7354,-37.4578,9700.0,2.14
2011-12-20,118.7354,-37.4578,9700.0,1.87
2011-12-21,118.7354,-37.4578,9700.0,2.09
2011-12-22,118.7354,-37.4578,9700.0,1.85
2011-12-23,118.7354,-37.4578,9700.0,1.78
2011-12-24,118.7354,-37.4578,9700.0,2.31
2011-12-25,118.7354,-37.4578,9700.0,2.44
2011-12-26,118.7354,-37.4578,9700.0,2.34
2011-12-27,118.7354,-37.4578,9700.0,2.06
2011-12-28,118.7354,-37.4578,9700.0,2.08
2011-12-29,118.7354,-37.4578,9700.0,1.99
