date,lon,lat,elev,snow
2011-11-01,119.35,-37.873,8600.0,0.74
2011-11-02,119.35,-37.873,8600.0,0.74
2011-11-03,119.35,-37.873,8600.0,0.74
2011-11-04,119.35,-37.873,8600.0,1.22
2011-11-05,119.35,-37.873,8600.0,1.22
2011-11-06,119.35,-37.873,8600.0,1.7
2011-11-07,119.35,-37.873,8600.0,1.7
2011-11-08,119.35,-37.873,8600.0,1.7
2011-11-09,119.35,-37.873,8600.0,1.7
2011-11-10,119.35,-37.873,8600.0,1.82
2011-11-11,119.35,-37.873,8600.0,1.82
2011-11-12,119.35,-37.873,8600.0,1.94
2011-11-13,119.35,-37.873,8600.0,2.06
2011-11-14,119.35,-37.873,8600.0,2.06
2011-11-15,119.35,-37.873,8600.0,2.06
2011-11-16,119.35,-37.873,8600.0,2.06
2011-11-17,119.35,-37.873,8600.0,2.18
2011-11-18,119.35,-37.873,8600.0,2.3
2011-11-19,119.35,-37.873,8600.0,2.42
2011-11-20,119.35,-37.873,8600.0,2.42
2011-11-21,119.35,-37.873,8600.0,2.42
2011-11-22,119.35,-37.873,8600.0,2.42
2011-11-23,119.35,-37.873,8600.0,2.54
2011-11-24,119.35,-37.873,8600.0,2.66
2011-11-25,119.35,-37.873,8600.0,2.54
2011-11-26,119.35,-37.873,8600.0,2.54
2011-11-27,119.35,-37.873,8600.0,2.54
2011-11-28,119.35,-37.873,8600.0,2.54
2011-11-29,119.35,-37.873,8600.0,2.54
2011-11-30,119.35,-37.873,8600.0,2.54
2011-12-01,119.35,-37.873,8600.0,2.54
2011-12-02,119.35,-37.873,8600.0,2.54
2011-12-03,119.35,-37.873,8600.0,2.42
2011-12-04,119.35,-37.873,8600.0,2.42
2011-12-05,119.35,-37.873,8600.0,2.42
2011-12-06,119.35,-37.873,8600.0,2.42
2011-12-07,119.35,-37.873,8600.0,2.42
2011-12-08,119.35,-37.873,8600.0,2.42
2011-12-09,119.35,-37.873,8600.0,2.42
2011-12-10,119.35,-37.873,8600.0,2.42
2011-12-11,119.35,-37.873,8600.0,2.3
2011-12-12,119.35,-37.873,8600.0,2.3
2011-12-13,119.35,-37.873,8600.0,2.06
2011-12-14,119.35,-37.873,8600.0,2.06
2011-12-15,119.35,-37.873,8600.0,2.18
2011-12-16,119.35,-37.873,8600.0,2.18
2011-12-17,119.35,-37.873,8600.0,2.42
2011-12-18,119.35,-37.873,8600.0,2.54
2011-12-19,119.35,-37.873,8600.0,2.54
2011-12-20,119.35,-37.873,8600.0,2.42
2011-12-21,119.35,-37.873,8600.0,2.66
2011-12-22,119.35,-37.873,8600.0,2.42
2011-12-23,119.35,-37.873,8600.0,2.42
2011-12-24,119.35,-37.873,8600.0,2.42
2011-12-25,119.35,-37.873,8600.0,2.54
2011-12-26,119.35,-37.873,8600.0,2.54
2011-12-27,119.35,-37.873,8600.0,2.54
2011-12-28,119.35,-37.873,8600.0,2.42
2011-12-29,119.35,-37.873,8600.0,2.66
2011-12-30,119.35,-37.873,8600.0,2.18
2011-12-31,119.35,-37.873,8600.0,1.82
2012-01-01,119.35,-37.873,8600.0,1.94
