date,lon,lat,elev,snow
2011-11-01,118.288,-36.367,8900.0,-1.43
2011-11-02,118.288,-36.367,8900.0,-1.14
2011-11-03,118.288,-36.367,8900.0,-1.1
2011-11-04,118.288,-36.367,8900.0,-1.04
2011-11-05,118.288,-36.367,8900.0,-0.77
2011-11-06,118.288,-36.367,8900.0,-1.01
2011-11-07,118.288,-36.367,8900.0,-0.62
2011-11-08,118.288,-36.367,8900.0,-0.74
2011-11-09,118.288,-36.367,8900.0,-0.88
2011-11-10,118.288,-36.367,8900.0,-0.98
2011-11-11,118.288,-36.367,8900.0,-0.84
2011-11-12,118.288,-36.367,8900.0,0.27
2011-11-13,118.288,-36.367,8900.0,0.39
2011-11-14,118.288,-36.367,8900.0,0.42
2011-11-15,118.288,-36.367,8900.0,0.37
2011-11-16,118.288,-36.367,8900.0,0.25
2011-11-17,118.288,-36.367,8900.0,0.24
2011-11-18,118.288,-36.367,8900.0,0.15
2011-11-19,118.288,-36.367,8900.0,0.06
2011-11-20,118.288,-36.367,8900.0,-0.13
2011-11-21,118.288,-36.367,8900.0,0.25
2011-11-22,118.288,-36.367,8900.0,0.49
2011-11-23,118.288,-36.367,8900.0,0.63
2011-11-24,118.288,-36.367,8900.0,0.67
2011-11-25,118.288,-36.367,8900.0,0.67
2011-11-26,118.288,-36.367,8900.0,0.49
2011-11-27,118.288,-36.367,8900.0,0.32
2011-11-28,118.288,-36.367,8900.0,0.14
2011-11-29,118.288,-36.367,8900.0,0.18
2011-11-30,118.288,-36.367,8900.0,0.25
2011-12-01,118.288,-36.367,8900.0,0.31
2011-12-02,118.288,-36.367,8900.0,0.39
2011-12-03,118.288,-36.367,8900.0,0.5
2011-12-04,118.288,-36.367,8900.0,0.5
2011-12-05,118.288,-36.367,8900.0,0.55
2011-12-06,118.288,-36.367,8900.0,0.55
2011-12-07,118.288,-36.367,8900.0,0.56
2011-12-08,118.288,-36.367,8900.0,0.38
2011-12-09,118.288,-36.367,8900.0,0.43
2011-12-10,118.288,-36.367,8900.0,0.62
2011-12-11,118.288,-36.367,8900.0,0.79
2011-12-12,118.288,-36.367,8900.0,0.43
2011-12-13,118.288,-36.367,8900.0,0.4
2011-12-14,118.288,-36.367,8900.0,0.36
2011-12-15,118.288,-36.367,8900.0,0.37
2011-12-16,118.288,-36.367,8900.0,0.12
2011-12-17,118.288,-36.367,8900.0,0.28
2011-12-18,118.288,-36.367,8900.0,0.49
2011-12-19,118.288,-36.367,8900.0,0.79
2011-12-20,118.288,-36.367,8900.0,1.02
2011-12-21,118.288,-36.367,8900.0,0.86
2011-12-22,118.288,-36.367,8900.0,1.12
2011-12-23,118.288,-36.367,8900.0,1.22
2011-12-24,118.288,-36.367,8900.0,0.99
2011-12-25,118.288,-36.367,8900.0,0.99
2011-12-26,118.288,-36.367,8900.0,0.58
