date,lon,lat,elev,snow
2011-11-01,118.937,-37.183,9700.0,-0.16
2011-11-02,118.937,-37.183,9700.0,-0.29
2011-11-03,118.937,-37.183,9700.0,-0.12
2011-11-04,118.937,-37.183,9700.0,0.52
2011-11-05,118.937,-37.183,9700.0,0.55
2011-11-06,118.937,-37.183,9700.0,1.0
2011-11-07,118.937,-37.183,9700.0,1.08
2011-11-08,118.937,-37.183,9700.0,0.93
2011-11-09,118.937,-37.183,9700.0,0.81
2011-11-10,118.937,-37.183,9700.0,0.89
2011-11-11,118.937,-37.183,9700.0,1.05
2011-11-12,118.937,-37.183,9700.0,2.23
2011-11-13,118.937,-37.183,9700.0,2.13
2011-11-14,118.937,-37.183,9700.0,2.08
2011-11-15,118.937,-37.183,9700.0,1.93
2011-11-16,118.937,-37.183,9700.0,1.9
2011-11-17,118.937,-37.183,9700.0,1.79
2011-11-18,118.937,-37.183,9700.0,1.96
2011-11-19,118.937,-37.183,9700.0,2.03
2011-11-20,118.937,-37.183,9700.0,2.12
2011-11-21,118.937,-37.183,9700.0,3.04
2011-11-22,118.937,-37.183,9700.0,2.85
2011-11-23,118.937,-37.183,9700.0,2.93
2011-11-24,118.937,-37.183,9700.0,3.12
2011-11-25,118.937,-37.183,9700.0,2.93
2011-11-26,118.937,-37.183,9700.0,2.69
2011-11-27,118.937,-37.183,9700.0,2.61
2011-11-28,118.937,-37.183,9700.0,2.65
2011-11-29,118.937,-37.183,9700.0,2.69
2011-11-30,118.937,-37.183,9700.0,2.76
2011-12-01,118.937,-37.183,9700.0,3.19
2011-12-02,118.937,-37.183,9700.0,3.05
2011-12-03,118.937,-37.183,9700.0,3.02
2011-12-04,118.937,-37.183,9700.0,2.72
2011-12-05,118.937,-37.183,9700.0,
2011-12-06,118.937,-37.183,9700.0,2.59
2011-12-07,118.937,-37.183,9700.0,2.46
2011-12-08,118.937,-37.183,9700.0,2.57
2011-12-09,118.937,-37.183,9700.0,2.48
2011-12-10,118.937,-37.183,9700.0,2.52
2011-12-11,118.937,-37.183,9700.0,2.86
2011-12-12,118.937,-37.183,9700.0,3.19
2011-12-13,118.937,-37.183,9700.0,3.17
2011-12-14,118.937,-37.183,9700.0,3.02
2011-12-15,118.937,-37.183,9700.0,3.07
2011-12-16,118.937,-37.183,9700.0,3.01
2011-12-17,118.937,-37.183,9700.0,2.91
2011-12-18,118.937,-37.183,9700.0,2.93
2011-12-19,118.937,-37.183,9700.0,3.02
2011-12-20,118.937,-37.183,9700.0,2.96
2011-12-21,118.937,-37.183,9700.0,3.0
2011-12-22,118.937,-37.183,9700.0,2.79
2011-12-23,118.937,-37.183,9700.0,2.62
2011-12-24,118.937,-37.183,9700.0,2.55
2011-12-25,118.937,-37.183,9700.0,2.53
2011-12-26,118.937,-37.183,9700.0,2.66
2011-12-27,118.937,-37.183,9700.0,2.62
2011-12-28,118.937,-37.183,9700.0,2.6
2011-12-29,118.937,-37.183,9700.0,2.77
2011-12-30,118.937,-37.183,9700.0,2.68
2011-12-31,118.937,-37.183,9700.0,2.68
2012-01-01,118.937,-37.183,9700.0,2.72
2012-01-02,118.937,-37.183,9700.0,2.73
2012-01-03,118.937,-37.183,9700.0,2.85
2012-01-04,118.937,-37.183,9700.0,2.81
2012-01-05,118.937,-37.183,9700.0,2.83
2012-01-06,118.937,-37.183,9700.0,2.83
2012-01-07,118.937,-37.183,9700.0,2.83
2012-01-08,118.937,-37.183,9700.0,2.83
2012-01-09,118.937,-37.183,9700.0,2.84
2012-01-10,118.937,-37.183,9700.0,2.82
2012-01-11,118.937,-37.183,9700.0,2.82
2012-01-12,118.937,-37.183,9700.0,2.82
2012-01-13,118.937,-37.183,9700.0,2.82
2012-01-14,118.937,-37.183,9700.0,3.16
2012-01-15,118.937,-37.183,9700.0,3.55
2012-01-16,118.937,-37.183,9700.0,3.86
2012-01-17,118.937,-37.183,9700.0,3.68
2012-01-18,118.937,-37.183,9700.0,3.82
2012-01-19,118.937,-37.183,9700.0,3.78
2012-01-20,118.937,-37.183,9700.0,4.25
2012-01-21,118.937,-37.183,9700.0,6.35
2012-01-22,118.937,-37.183,9700.0,6.98
2012-01-23,118.937,-37.183,9700.0,8.16
2012-01-24,118.937,-37.183,9700.0,8.89
2012-01-25,118.937,-37.183,9700.0,8.41
2012-01-26,118.937,-37.183,9700.0,8.41
2012-01-27,118.937,-37.183,9700.0,8.63
2012-01-28,118.937,-37.183,9700.0,8.35
2012-01-29,118.937,-37.183,9700.0,8.28
2012-01-30,118.937,-37.183,9700.0,8.55
2012-01-31,118.937,-37.183,9700.0,8.66
2012-02-01,118.937,-37.183,9700.0,8.52
2012-02-02,118.937,-37.183,9700.0,8.54
2012-02-03,118.937,-37.183,9700.0,8.69
2012-02-04,118.937,-37.183,9700.0,8.68
2012-02-05,118.937,-37.183,9700.0,8.64
2012-02-06,118.937,-37.183,9700.0,8.69
2012-02-07,118.937,-37.183,9700.0,8.86
2012-02-08,118.937,-37.183,9700.0,8.87
2012-02-09,118.937,-37.183,9700.0,8.53
2012-02-10,118.937,-37.183,9700.0,8.65
2012-02-11,118.937,-37.183,9700.0,9.14
2012-02-12,118.937,-37.183,9700.0,9.11
2012-02-13,118.937,-37.183,9700.0,9.44
2012-02-14,118.937,-37.183,9700.0,9.79
2012-02-15,118.937,-37.183,9700.0,9.85
2012-02-16,118.937,-37.183,9700.0,9.84
2012-02-17,118.937,-37.183,9700.0,9.61
2012-02-18,118.937,-37.183,9700.0,9.72
2012-02-19,118.937,-37.183,9700.0,10.04
2012-02-20,118.937,-37.183,9700.0,9.89
2012-02-21,118.937,-37.183,9700.0,9.66
2012-02-22,118.937,-37.183,9700.0,9.46
2012-02-23,118.937,-37.183,9700.0,9.46
2012-02-24,118.937,-37.183,9700.0,9.45
2012-02-25,118.937,-37.183,9700.0,9.35
2012-02-26,118.937,-37.183,9700.0,9.24
2012-02-27,118.937,-37.183,9700.0,9.25
2012-02-28,118.937,-37.183,9700.0,9.5
2012-02-29,118.937,-37.183,9700.0,9.82
2012-03-01,118.937,-37.183,9700.0,10.21
2012-03-02,118.937,-37.183,9700.0,10.2
2012-03-03,118.937,-37.183,9700.0,10.18
2012-03-04,118.937,-37.183,9700.0,10.17
2012-03-05,118.937,-37.183,9700.0,10.15
2012-03-06,118.937,-37.183,9700.0,10.2
2012-03-07,118.937,-37.183,9700.0,10.2
2012-03-08,118.937,-37.183,9700.0,10.3
2012-03-09,118.937,-37.183,9700.0,10.2
2012-03-10,118.937,-37.183,9700.0,10.6
2012-03-11,118.937,-37.183,9700.0,10.69
2012-03-12,118.937,-37.183,9700.0,10.68
2012-03-13,118.937,-37.183,9700.0,10.64
2012-03-14,118.937,-37.183,9700.0,10.51
2012-03-15,118.937,-37.183,9700.0,10.43
2012-03-16,118.937,-37.183,9700.0,10.52
2012-03-17,118.937,-37.183,9700.0,12.51
2012-03-18,118.937,-37.183,9700.0,15.26
2012-03-19,118.937,-37.183,9700.0,15.35
2012-03-20,118.937,-37.183,9700.0,15.03
2012-03-21,118.937,-37.183,9700.0,14.89
2012-03-22,118.937,-37.183,9700.0,15.0
2012-03-23,118.937,-37.183,9700.0,15.18
2012-03-24,118.937,-37.183,9700.0,15.21
2012-03-25,118.937,-37.183,9700.0,15.44
2012-03-26,118.937,-37.183,9700.0,15.93
2012-03-27,118.937,-37.183,9700.0,15.8
2012-03-28,118.937,-37.183,9700.0,15.85
2012-03-29,118.937,-37.183,9700.0,16.15
2012-03-30,118.937,-37.183,9700.0,16.06
2012-03-31,118.937,-37.183,9700.0,16.05
2012-04-01,118.937,-37.183,9700.0,16.91
2012-04-02,118.937,-37.183,9700.0,16.76
2012-04-03,118.937,-37.183,9700.0,16.67
2012-04-04,118.937,-37.183,9700.0,16.57
2012-04-05,118.937,-37.183,9700.0,16.66
2012-04-06,118.937,-37.183,9700.0,16.55
2012-04-07,118.937,-37.183,9700.0,16.32
2012-04-08,118.937,-37.183,9700.0,16.26
2012-04-09,118.937,-37.183,9700.0,16.3
2012-04-10,118.937,-37.183,9700.0,16.33
2012-04-11,118.937,-37.183,9700.0,16.56
2012-04-12,118.937,-37.183,9700.0,16.93
2012-04-13,118.937,-37.183,9700.0,18.42
2012-04-14,118.937,-37.183,9700.0,19.75
2012-04-15,118.937,-37.183,9700.0,19.35
2012-04-16,118.937,-37.183,9700.0,19.34
2012-04-17,118.937,-37.183,9700.0,19.02
2012-04-18,118.937,-37.183,9700.0,18.61
2012-04-19,118.937,-37.183,9700.0,18.35
2012-04-20,118.937,-37.183,9700.0,17.87
2012-04-21,118.937,-37.183,9700.0,17.41
2012-04-22,118.937,-37.183,9700.0,16.87
2012-04-23,118.937,-37.183,9700.0,16.42
2012-04-24,118.937,-37.183,9700.0,15.79
2012-04-25,118.937,-37.183,9700.0,15.3
2012-04-26,118.937,-37.183,9700.0,15.96
2012-04-27,118.937,-37.183,9700.0,15.92
2012-04-28,118.937,-37.183,9700.0,15.68
2012-04-29,118.937,-37.183,9700.0,15.0
2012-04-30,118.937,-37.183,9700.0,13.75
2012-05-01,118.937,-37.183,9700.0,13.24
2012-05-02,118.937,-37.183,9700.0,12.29
2012-05-03,118.937,-37.183,9700.0,11.24
2012-05-04,118.937,-37.183,9700.0,10.08
2012-05-05,118.937,-37.183,9700.0,9.91
2012-05-06,118.937,-37.183,9700.0,9.66
2012-05-07,118.937,-37.183,9700.0,8.72
2012-05-08,118.937,-37.183,9700.0,7.68
2012-05-09,118.937,-37.183,9700.0,6.9
2012-05-10,118.937,-37.183,9700.0,6.04
2012-05-11,118.937,-37.183,9700.0,5.31
2012-05-12,118.937,-37.183,9700.0,4.44
2012-05-13,118.937,-37.183,9700.0,3.55
2012-05-14,118.937,-37.183,9700.0,2.8
2012-05-15,118.937,-37.183,9700.0,2.36
2012-05-16,118.937,-37.183,9700.0,0.47
2012-05-17,118.937,-37.183,9700.0,0.0
2012-05-18,118.937,-37.183,9700.0,0.0
2012-05-19,118.937,-37.183,9700.0,0.0
2012-05-20,118.937,-37.183,9700.0,0.0
2012-05-21,118.937,-37.183,9700.0,0.0
2012-05-22,118.937,-37.183,9700.0,0.0
2012-05-23,118.937,-37.183,9700.0,0.0
2012-05-24,118.937,-37.183,9700.0,0.0
2012-05-25,118.937,-37.183,9700.0,0.0
2012-05-26,118.937,-37.183,9700.0,0.0
2012-05-27,118.937,-37.183,9700.0,0.0
2012-05-28,118.937,-37.183,9700.0,0.0
2012-05-29,118.937,-37.183,9700.0,0.0
2012-05-30,118.937,-37.183,9700.0,0.0
2012-05-31,118.937,-37.183,9700.0,0.0
2012-06-01,118.937,-37.183,9700.0,0.0
